,Player,Team,Position,Minutes,Off_box,Def_box,Tot_box,Off_oo,Def_oo,Tot_oo,Off_ov,Def_ov,Tot_ov,WAR
266,Andrew Nembhard'22-'23,Pacers,"PG, SG","2,073",-1.5,-0.2,-1.8,-1.2,-2.7,-3.9,-1.6,-0.7,-2.3,0.5
266,KZ Okpala'22-'23,Kings,PF,248,-3.6,4,0.4,-4.1,6.7,2.6,-3.9,4.8,0.9,0.5
266,Duncan Robinson'22-'23,Heat,"SG, SF, PF","1,109",0.6,-3,-2.4,1.8,-1.7,0.2,0.9,-2.9,-2.1,0.5
266,Isaiah Stewart'22-'23,Pistons,C,"1,414",-2.3,-0.1,-2.4,-0.4,-0.3,-0.7,-2,-0.1,-2.1,0.5
266,Dalen Terry'22-'23,Bulls,PG,214,0.9,1.5,2.4,-5.2,4.7,-0.5,-0.3,2.2,1.9,0.5
278,Precious Achiuwa'22-'23,Raptors,"PF, C","1,140",-2.4,0.6,-1.8,1.6,-3.8,-2.2,-1.8,-0.3,-2.1,0.4
278,Davis Bertans'22-'23,Mavericks,"SF, PF",492,0.2,-1,-0.7,-2.4,-0.4,-2.8,-0.3,-0.9,-1.2,0.4
278,Chris Duarte'22-'23,Pacers,"SG, SF",897,-1.3,0.3,-1,-3.2,-2,-5.2,-1.7,-0.1,-1.9,0.4
278,Kevon Harris'22-'23,Magic,SG,457,-1.6,0,-1.7,-0.8,2.5,1.7,-1.5,0.5,-1,0.4
278,Stanley Johnson'22-'23,Spurs,SF,469,0.8,-2.3,-1.5,1.6,-0.8,0.8,1.1,-2,-0.9,0.4
278,Damian Jones'22-'23,Jazz,C,477,-2.7,2.2,-0.4,-4.4,0.4,-4,-3.2,2,-1.2,0.4
278,Bennedict Mathurin'22-'23,Pacers,"SG, SF","2,222",-0.4,-1.8,-2.2,-2.7,0.1,-2.6,-0.9,-1.5,-2.4,0.4
278,Aaron Nesmith'22-'23,Pacers,SF,"1,816",-1.3,-0.7,-2,0.7,-4.1,-3.4,-0.9,-1.4,-2.4,0.4
278,Nick Richards'22-'23,Hornets,"PF, C","1,217",-0.9,-1.6,-2.5,-0.4,0.2,-0.2,-0.8,-1.3,-2.1,0.4
