,Player,Team,Position,Minutes,Off_box,Def_box,Tot_box,Off_oo,Def_oo,Tot_oo,Off_ov,Def_ov,Tot_ov,WAR
397,Trevelin Queen'22-'23,Pacers,SG,70,-5.5,-4,-9.5,-1.7,8,6.3,-5,-1.7,-6.7,-0.1
397,Neemias Queta'22-'23,Kings,C,29,-2.5,-3.4,-5.9,-20.2,-2.6,-22.8,-6.4,-3.3,-9.7,-0.1
397,Marko Simonovic'22-'23,Bulls,C,20,-7.8,-11.9,-19.7,2.7,16,18.7,-6.1,-6.8,-12.9,-0.1
397,Xavier Sneed'22-'23,Hornets,SF,48,-3.3,-1.1,-4.4,-10.5,1,-9.5,-4.9,-0.7,-5.6,-0.1
397,Lindell Wigginton'22-'23,Bucks,PG,87,-0.2,-2.2,-2.4,-3.2,-6.2,-9.4,-0.9,-3.2,-4.1,-0.1
397,Alondes Williams'22-'23,Nets,SG,5,-28.1,-20,-48.1,-18.7,-11.6,-30.3,-27.9,-19.5,-47.4,-0.1
420,Ryan Arcidiacono'22-'23,Trail Blazers,PG,172,-7.1,2.3,-4.8,-10.8,6.8,-4,-8.3,3.4,-4.9,-0.2
420,Jamaree Bouyea'22-'23,Wizards,PG,71,-7.9,1.2,-6.7,-2.9,-5.5,-8.4,-7.3,-0.1,-7.5,-0.2
420,Greg Brown III'22-'23,Trail Blazers,PF,93,-8.9,0.6,-8.2,-13,15.5,2.6,-10.3,3.8,-6.5,-0.2
420,Chance Comanche'22-'23,Trail Blazers,C,21,-6.1,-11.5,-17.6,-7.2,-35.4,-42.6,-6.6,-17,-23.6,-0.2
420,Cade Cunningham'22-'23,Pistons,PG,400,-2.6,-1.8,-4.4,-0.4,0,-0.4,-2.2,-1.4,-3.6,-0.2
420,Rudy Gay'22-'23,Jazz,PF,816,-3.2,-1,-4.2,-1.1,3.2,2.1,-2.9,-0.2,-3.1,-0.2
420,Jaxson Hayes'22-'23,Pelicans,C,610,-2.9,0.6,-2.3,-7,0.9,-6.1,-3.9,0.7,-3.2,-0.2
420,Serge Ibaka'22-'23,Bucks,C,185,-4,0.8,-3.2,-7.6,-0.5,-8.1,-5,0.5,-4.5,-0.2
420,Ty Jerome'22-'23,Warriors,"PG, SG",816,0.2,-2.7,-2.5,-0.8,-4.3,-5.1,0,-3.2,-3.2,-0.2
420,Kai Jones'22-'23,Hornets,PF,550,-4.1,0.1,-3.9,-3,2,-1,-4,0.5,-3.5,-0.2
420,Nikola Jovic'22-'23,Heat,"SF, PF",217,-3.3,-0.9,-4.2,-3.5,-0.3,-3.8,-3.5,-0.9,-4.4,-0.2
420,Maxi Kleber'22-'23,Mavericks,"PF, C",930,-2.9,-0.2,-3.2,-2.5,0.5,-2,-3,-0.1,-3.1,-0.2
420,Nathan Knight'22-'23,Timberwolves,PF,296,-2.1,-1.7,-3.7,-2.9,-2.1,-5,-2.4,-1.9,-4.2,-0.2
420,A.J. Lawson'22-'23,Mavericks,SG,108,-1.1,-3.3,-4.4,-9.6,-5.5,-15,-3,-3.9,-6.9,-0.2
420,Tyrese Martin'22-'23,Hawks,SF,66,-5,-5.5,-10.6,-2.4,-0.7,-3.1,-4.8,-4.8,-9.6,-0.2
420,Wendell Moore Jr.'22-'23,Timberwolves,SF,155,-3.5,-0.8,-4.4,-8.1,-1.6,-9.8,-4.7,-1.1,-5.7,-0.2
420,Theo Pinson'22-'23,Mavericks,"SG, SF",323,-0.3,-3.5,-3.8,-2.7,-1.3,-3.9,-0.8,-3.2,-4.1,-0.2
420,Matt Ryan'22-'23,Timberwolves,"SF, PF",310,-2.3,-2.5,-4.8,-0.2,-0.7,-0.9,-2,-2.3,-4.3,-0.2
420,Olivier Sarr'22-'23,Thunder,C,114,-3.2,-5,-8.3,-0.4,2,1.6,-2.9,-3.9,-6.7,-0.2
420,Patrick Williams'22-'23,Bulls,"SG, SF, PF","2,323",-2.8,0.3,-2.5,-0.8,-3.1,-3.8,-2.5,-0.4,-2.9,-0.2
420,Omer Yurtseven'22-'23,Heat,C,99,0.1,-7.2,-7.1,2.7,-4.4,-1.7,0.6,-7.1,-6.5,-0.2
441,Patrick Baldwin Jr.'22-'23,Warriors,SF,237,-2.5,-1.6,-4.1,-6,-3,-9,-3.4,-2,-5.4,-0.3
441,Khem Birch'22-'23,Spurs,"PF, C",162,-6.4,-0.8,-7.2,-2.4,2.7,0.2,-6,-0.1,-6.1,-0.3
441,Michael Carter-Williams'22-'23,Magic,PG,44,-1.6,-10.6,-12.2,-4.5,-13.3,-17.8,-2.3,-11.8,-14.1,-0.3
441,Goran Dragic'22-'23,Bucks,"PG, SG",877,-1.3,-2.4,-3.7,-0.1,-0.7,-0.8,-1.1,-2.2,-3.3,-0.3
441,Juancho Hernangomez'22-'23,Raptors,PF,614,-3.2,-0.8,-4,0.6,-1.8,-1.2,-2.6,-1.1,-3.7,-0.3
441,Danuel House Jr.'22-'23,76ers,"SF, PF",849,-2,-1.2,-3.3,-0.8,-2.3,-3.1,-1.9,-1.5,-3.5,-0.3
441,Justin Jackson'22-'23,Celtics,SF,107,-3.3,-1.5,-4.7,-16.6,-1.7,-18.3,-6.3,-1.7,-8,-0.3
441,Frank Kaminsky'22-'23,Rockets,C,235,-1.3,-3.9,-5.2,-1.8,-2.7,-4.5,-1.5,-3.9,-5.3,-0.3
441,Jake LaRavia'22-'23,Grizzlies,PF,414,-2.6,-1,-3.6,-3.9,-1.3,-5.2,-3.1,-1.1,-4.2,-0.3
441,Meyers Leonard'22-'23,Bucks,C,119,-1.8,-5.6,-7.4,0.7,-9.3,-8.6,-1.4,-6.8,-8.1,-0.3
441,Marcus Morris Sr.'22-'23,Clippers,"PF, C","1,893",-1.7,-1.5,-3.2,-0.8,-0.8,-1.6,-1.6,-1.4,-3,-0.3
441,Georges Niang'22-'23,76ers,PF,"1,669",-0.4,-2.7,-3.1,-1.7,-0.2,-1.9,-0.7,-2.4,-3.1,-0.3
441,Zeke Nnaji'22-'23,Nuggets,PF,740,-2.2,-1,-3.2,-8.8,5,-3.7,-3.7,0.2,-3.5,-0.3
441,Taurean Prince'22-'23,Timberwolves,"SF, PF","1,292",-2.3,-1.2,-3.5,-1.3,0.2,-1,-2.2,-1,-3.2,-0.3
441,Daniel Theis'22-'23,Pacers,C,109,-2.8,-6.2,-9,-1.7,-0.9,-2.7,-2.7,-5.4,-8.2,-0.3
441,Jeenathan Williams'22-'23,Trail Blazers,SG,127,0,-7.5,-7.5,0.9,-3.4,-2.5,0.2,-7,-6.8,-0.3
441,Vince Williams Jr.'22-'23,Grizzlies,SF,105,-6.8,-1,-7.8,-12.9,4.5,-8.4,-8.5,0,-8.4,-0.3
441,McKinley Wright IV'22-'23,Mavericks,PG,335,-2.2,-0.2,-2.4,-6.9,-4.1,-11,-3.4,-1,-4.4,-0.3
459,Udoka Azubuike'22-'23,Jazz,C,359,-4.9,1,-3.9,-6.3,-2,-8.3,-5.5,0.5,-5,-0.4
459,Paolo Banchero'22-'23,Magic,PF,"2,430",-1.6,-0.9,-2.5,-0.5,-4.5,-5,-1.4,-1.7,-3.1,-0.4
459,Trent Forrest'22-'23,Hawks,"PG, SG",277,-3.3,-1.6,-4.9,-4.5,-2.4,-6.9,-3.8,-1.9,-5.6,-0.4
459,Anthony Gill'22-'23,Wizards,PF,624,-1.1,-3.6,-4.7,-1.4,1.3,-0.1,-1.2,-2.8,-4,-0.4
459,Kenneth Lofton Jr.'22-'23,Grizzlies,PF,188,0.6,-5.6,-5,-6.5,-4.8,-11.3,-0.8,-5.8,-6.7,-0.4
459,Robin Lopez'22-'23,Cavaliers,C,305,-2.6,-1.8,-4.4,-6.5,-1.2,-7.7,-3.6,-1.9,-5.5,-0.4
459,Derrick Rose'22-'23,Knicks,"PG, SG",341,-3.5,-0.8,-4.3,-5.9,0.4,-5.6,-4.2,-0.6,-4.9,-0.4
459,Admiral Schofield'22-'23,Magic,SF,451,-1.4,-2.4,-3.8,-3.4,-2,-5.4,-1.9,-2.4,-4.3,-0.4
459,Terry Taylor'22-'23,Bulls,"SF, PF",264,-2.6,-4.6,-7.2,-0.7,3.3,2.6,-2.4,-3.2,-5.5,-0.4
459,Isaiah Todd'22-'23,Wizards,PF,61,-13.5,-6,-19.4,-7.5,6.6,-0.8,-13.1,-3.7,-16.8,-0.4
459,Noah Vonleh'22-'23,Celtics,C,171,-5.7,-1.2,-6.9,0.3,-4.3,-4,-4.8,-2,-6.8,-0.4
459,Peyton Watson'22-'23,Nuggets,SF,200,-3,-3.5,-6.5,-7.3,-0.3,-7.6,-4.1,-3,-7.1,-0.4
471,John Butler Jr.'22-'23,Trail Blazers,C,221,-6.3,-0.8,-7.1,-3.8,-1.7,-5.5,-6.2,-0.9,-7.1,-0.5
471,Kennedy Chandler'22-'23,Grizzlies,PG,281,-1.8,-4.1,-5.9,-4.1,0.1,-4,-2.4,-3.5,-5.9,-0.5
471,Evan Fournier'22-'23,Knicks,"SG, SF",459,-2.4,-2.3,-4.8,-3.6,-0.5,-4.1,-2.9,-2.1,-4.9,-0.5
471,JaMychal Green'22-'23,Warriors,PF,846,-1.4,-1.5,-2.9,-3.6,-3.1,-6.7,-2,-1.9,-3.9,-0.5
471,Jordan Hall'22-'23,Spurs,SF,83,-8.1,-7.5,-15.5,-11.3,2,-9.3,-9.1,-5.8,-14.9,-0.5
471,Isaiah Jackson'22-'23,Pacers,"PF, C","1,042",-2.5,-0.8,-3.3,-2.6,-1.6,-4.2,-2.7,-1,-3.6,-0.5
471,James Johnson'22-'23,Pacers,PF,162,-6.6,-3.9,-10.4,-7,5.4,-1.6,-7,-2.1,-9.1,-0.5
471,Patty Mills'22-'23,Nets,"PG, SG",572,-0.7,-2.9,-3.6,-1.9,-4.5,-6.4,-1,-3.4,-4.4,-0.5
471,Justin Minaya'22-'23,Trail Blazers,SF,89,-7.5,-7,-14.5,-2,-3.9,-5.9,-6.8,-6.7,-13.5,-0.5
471,Nerlens Noel'22-'23,Nets,C,195,-7.5,0.7,-6.9,-7,-0.3,-7.3,-7.8,0.6,-7.3,-0.5
471,Frank Ntilikina'22-'23,Mavericks,"PG, SG",607,-4.6,-1.2,-5.8,0,3.2,3.2,-4,-0.3,-4.3,-0.5
471,Kendrick Nunn'22-'23,Wizards,"PG, SG",964,-1.4,-2.7,-4.1,-1.1,-0.3,-1.3,-1.4,-2.4,-3.8,-0.5
471,Davon Reed'22-'23,Lakers,SG,342,-4.1,-0.2,-4.4,-9.7,1.1,-8.6,-5.6,0,-5.6,-0.5
484,Mamadi Diakite'22-'23,Cavaliers,C,176,-6.9,-3.5,-10.3,-4.6,1.2,-3.4,-6.9,-2.8,-9.7,-0.6
484,Ousmane Dieng'22-'23,Thunder,SF,569,-2.8,-3.1,-5.9,0.3,1,1.3,-2.4,-2.4,-4.8,-0.6
484,Malachi Flynn'22-'23,Raptors,PG,691,-1.4,-2.8,-4.1,-2.5,-2.2,-4.7,-1.7,-2.8,-4.5,-0.6
484,Caleb Houstan'22-'23,Magic,"SG, SF",812,-1.8,-2.4,-4.2,-2.6,-0.8,-3.4,-2,-2.2,-4.2,-0.6
484,JaVale McGee'22-'23,Mavericks,C,355,-4.8,-0.8,-5.6,-4.9,-0.3,-5.2,-5.1,-0.7,-5.8,-0.6
484,Markieff Morris'22-'23,Mavericks,PF,355,-4.5,-2,-6.4,-2,0.2,-1.9,-4.2,-1.6,-5.9,-0.6
484,Chuma Okeke'22-'23,Magic,PF,518,-2.5,-1.4,-4,-3.5,-3.6,-7.1,-2.9,-2,-4.8,-0.6
484,Isaiah Roby'22-'23,Knicks,"PF, C",474,-3.6,-2,-5.6,-5.5,1.7,-3.7,-4.1,-1.2,-5.4,-0.6
484,Ish Smith'22-'23,Nuggets,PG,410,-4.2,-2,-6.2,-5.8,3.8,-2,-4.8,-0.9,-5.7,-0.6
484,Jalen Smith'22-'23,Pacers,"PF, C","1,279",-2.4,-1.4,-3.8,-1.9,-0.6,-2.5,-2.4,-1.3,-3.7,-0.6
484,P.J. Washington'22-'23,Hornets,"PF, C","2,380",-1.8,-1.1,-3,-2,-1.8,-3.8,-1.9,-1.3,-3.2,-0.6
495,RJ Barrett'22-'23,Knicks,"SG, SF","2,852",-0.3,-2,-2.2,-1.8,-4.1,-6,-0.7,-2.6,-3.2,-0.7
495,James Bouknight'22-'23,Hornets,SG,515,-3.5,-2.4,-5.9,-4.1,1.5,-2.6,-3.8,-1.7,-5.5,-0.7
495,Jordan Poole'22-'23,Warriors,"PG, SG","2,742",-0.2,-2.1,-2.3,-5.9,-0.2,-6.1,-1.4,-1.8,-3.2,-0.7
495,David Roddy'22-'23,Grizzlies,"SF, PF","1,334",-2.9,-0.3,-3.2,-2,-2.8,-4.8,-2.9,-0.9,-3.8,-0.7
495,Ryan Rollins'22-'23,Warriors,SG,62,-13,-9.9,-22.9,-23.3,2.6,-20.7,-15.9,-7.9,-23.8,-0.7
495,Juan Toscano-Anderson'22-'23,Jazz,"SF, PF",700,-3.6,-0.8,-4.3,-5.1,-0.2,-5.3,-4.1,-0.7,-4.8,-0.7
495,John Wall'22-'23,Clippers,PG,755,-2.3,-1.7,-4,-5.6,0.8,-4.8,-3.1,-1.3,-4.4,-0.7
495,Cody Zeller'22-'23,Heat,C,391,-2.8,-3.9,-6.7,0.8,-2.3,-1.5,-2.3,-3.8,-6.1,-0.7
503,Johnny Davis'22-'23,Wizards,SG,423,-3.7,-2.9,-6.6,-7.5,3.9,-3.6,-4.7,-1.6,-6.3,-0.8
503,Bryn Forbes'22-'23,Timberwolves,SG,268,-3.7,-4.4,-8.1,-3.4,-3.3,-6.7,-3.8,-4.5,-8.3,-0.8
503,Johnny Juzang'22-'23,Jazz,SF,232,-4.7,-4.1,-8.8,-8.4,-2.9,-11.3,-5.7,-4.1,-9.8,-0.8
503,Cam Reddish'22-'23,Trail Blazers,SF,990,-2.7,-0.9,-3.6,-4.4,-1.7,-6.1,-3.2,-1.1,-4.3,-0.8
503,TyTy Washington Jr.'22-'23,Rockets,PG,433,-3.2,-4.6,-7.7,-2.6,2.3,-0.4,-3.2,-3.4,-6.6,-0.8
508,Keon Johnson'22-'23,Trail Blazers,SG,416,-3,-3.2,-6.1,-5.4,-3.5,-8.9,-3.6,-3.4,-7,-0.9
508,Bryce McGowens'22-'23,Hornets,SG,787,-3.5,-1.1,-4.6,-5.4,-0.4,-5.7,-4.1,-1,-5,-0.9
510,Thanasis Antetokounmpo'22-'23,Bucks,SF,211,-5.6,-3.9,-9.6,-9.6,-8.9,-18.5,-6.8,-5.2,-12,-1
510,MarJon Beauchamp'22-'23,Bucks,SG,706,-3.5,-1.6,-5.1,-3.5,-2.3,-5.8,-3.7,-1.9,-5.6,-1
510,Richaun Holmes'22-'23,Kings,"PF, C",348,-2.9,-5.3,-8.2,-6.7,-0.2,-6.8,-3.9,-4.6,-8.4,-1
510,Nassir Little'22-'23,Trail Blazers,"SF, PF",976,-2,-2.4,-4.4,-0.8,-3.9,-4.7,-1.9,-2.9,-4.7,-1
510,Sandro Mamukelashvili'22-'23,Spurs,C,660,-2.7,-3,-5.6,-1.8,-2.7,-4.5,-2.6,-3.1,-5.7,-1
515,Gorgui Dieng'22-'23,Spurs,"PF, C",358,-5.7,-2.1,-7.8,-7.6,-3.1,-10.6,-6.3,-2.3,-8.7,-1.1
516,Kevin Knox II'22-'23,Trail Blazers,"SF, PF",952,-2.2,-3.1,-5.3,-3.9,-0.3,-4.2,-2.6,-2.6,-5.3,-1.2
517,Amir Coffey'22-'23,Clippers,"PG, SG, SF",626,-3.3,-3.3,-6.7,-5.4,-0.8,-6.2,-4,-3,-7,-1.3
517,Eric Gordon'22-'23,Clippers,"SG, SF","2,114",-0.5,-3.8,-4.3,-1.3,0.1,-1.3,-0.7,-3.2,-3.9,-1.3
517,Justin Holiday'22-'23,Mavericks,"SG, SF",706,-3.9,-2.4,-6.3,-5.2,-0.3,-5.5,-4.4,-2,-6.5,-1.3
517,DeAndre Jordan'22-'23,Nuggets,C,600,-4.9,-1.4,-6.3,-4.5,-3,-7.5,-5.2,-1.8,-6.9,-1.3
517,Jordan Nwora'22-'23,Pacers,"SF, PF","1,188",-1.3,-2.9,-4.2,-2.7,-3.7,-6.4,-1.7,-3.2,-4.9,-1.3
517,Austin Rivers'22-'23,Timberwolves,"PG, SG","1,062",-2.2,-2.5,-4.8,-1.9,-3.3,-5.3,-2.3,-2.9,-5.2,-1.3
517,Day'Ron Sharpe'22-'23,Nets,C,572,-1.7,-4.7,-6.4,-0.8,-7.1,-7.9,-1.6,-5.4,-7,-1.3
517,JT Thor'22-'23,Hornets,PF,969,-4.9,-0.7,-5.5,-4.7,1,-3.6,-5.1,-0.3,-5.4,-1.3
517,Lonnie Walker IV'22-'23,Lakers,"SG, SF","1,476",-1.8,-1.7,-3.6,-3.1,-3.4,-6.5,-2.2,-2.2,-4.4,-1.3
526,Josh Christopher'22-'23,Rockets,SG,786,-2.7,-2.7,-5.5,-4.1,-4,-8.1,-3.1,-3.1,-6.2,-1.4
526,Jabari Walker'22-'23,Trail Blazers,PF,619,-4.5,-3.2,-7.8,-3.7,1.1,-2.6,-4.6,-2.5,-7.1,-1.4
528,Bol Bol'22-'23,Magic,"PF, C","1,505",-3.1,-1.6,-4.7,-3.6,-0.2,-3.8,-3.3,-1.4,-4.7,-1.5
529,Kenyon Martin Jr.'22-'23,Rockets,"SF, PF","2,292",-1.2,-3.3,-4.6,0.8,-2.1,-1.3,-0.9,-3.2,-4.1,-1.6
530,Will Barton'22-'23,Raptors,"SG, SF",993,-1.7,-4.1,-5.7,-4.8,-0.6,-5.5,-2.4,-3.6,-6,-1.7
530,Jeff Green'22-'23,Nuggets,PF,"1,434",-3.2,-0.7,-4,-5.4,-2.5,-7.9,-3.9,-1.2,-5.1,-1.7
532,Doug McDermott'22-'23,Spurs,"SF, PF","1,314",-1.2,-4.4,-5.6,-1.3,-2.1,-3.3,-1.2,-4.2,-5.4,-1.8
533,Shaedon Sharpe'22-'23,Trail Blazers,"SG, SF","1,779",-1.9,-2.3,-4.2,-3,-3.9,-6.9,-2.3,-2.7,-5,-2
534,Simone Fontecchio'22-'23,Jazz,SF,766,-2.7,-4.6,-7.2,-5.7,-3.9,-9.6,-3.5,-4.7,-8.2,-2.1
534,Daishen Nix'22-'23,Rockets,PG,914,-4.7,-3.1,-7.9,-3,-0.3,-3.3,-4.6,-2.7,-7.3,-2.1
536,Reggie Bullock'22-'23,Mavericks,SF,"2,364",-2.5,-1.8,-4.4,-2.1,-2.2,-4.3,-2.6,-2,-4.6,-2.2
537,Jabari Smith Jr.'22-'23,Rockets,"PF, C","2,451",-3.1,-0.8,-4,-3,-3.9,-6.8,-3.3,-1.5,-4.7,-2.5
537,James Wiseman'22-'23,Pistons,C,867,-3.8,-4,-7.7,-3.6,-5,-8.6,-3.9,-4.4,-8.3,-2.5
539,Jaden Ivey'22-'23,Pistons,"PG, SG","2,304",-1.1,-2.5,-3.7,-4.6,-5.3,-9.9,-1.9,-3.2,-5,-2.7
540,Blake Wesley'22-'23,Spurs,SG,669,-7.5,-4.5,-12,-4.6,-0.6,-5.2,-7.3,-3.9,-11.2,-2.9
541,Malaki Branham'22-'23,Spurs,SG,"1,550",-3,-4.3,-7.3,-1,-1.2,-2.2,-2.7,-3.9,-6.6,-3
