,,,,,,"~~~eRAPTOR~~~",,,"&nbsp",,,,
"Player","Age","Team(s)","Pos","G","MP","Off","Def","Tot","WAR","WAR/82",,,
"Gordon Hayward",33,"CHO"," OKC","SF",38,1019,-0.195343223,-0.463734778,-0.659078001,1.04780115,1.263461391,,
"RJ Barrett",23,"TOR"," NYK","SG",53,1675,0.70915252,-1.376873733,-0.667721214,1.709543709,2.092277376,,
"Klay Thompson",33,"GSW","SF",63,1865,0.691204974,-1.372986055,-0.681781082,1.881363457,2.337451568,,,
"Tre Mann",22,"CHO"," OKC","PG",27,557,-1.31042215,0.6275987,-0.682823451,0.56542827,0.680202801,,
"Justin Holiday",34,"DEN","SG",43,629,-1.074134085,0.369270876,-0.704863209,0.631183597,0.772493358,,,
"Chris Boucher",31,"TOR","PF",50,705,-1.047371641,0.317799666,-0.729571975,0.693125641,0.848303024,,,
"Jabari Smith Jr.",20,"HOU","PF",62,1986,-1.850968879,1.112194197,-0.738774682,1.942103741,2.376903086,,,
"Sasha Vezenkov",28,"SAC","PF",35,440,-0.693149203,-0.048967207,-0.742116409,0.428712849,0.532643237,,,
"Tim Hardaway Jr.",31,"DAL","SF",64,1801,0.932266111,-1.675519612,-0.743253501,1.770237487,2.166559313,,,
"Dru Smith",26,"MIA","SG",9,131,-1.510716368,0.766463317,-0.744253051,0.128,0.159631898,,,
"Ayo Dosunmu",24,"CHI","SG",66,1849,-0.100946326,-0.658193529,-0.759139855,1.770662007,2.135210067,,,
"Russell Westbrook",35,"LAC","PG",58,1313,-1.354810411,0.579404047,-0.775406364,1.264261115,1.570748658,,,
"Dwight Powell",32,"DAL","C",54,755,-0.35321544,-0.471687467,-0.824902907,0.706596869,0.864790198,,,
"Markelle Fultz",25,"ORL","PG",29,639,-2.044578365,1.218593512,-0.825984853,0.593941755,0.72691379,,,
"Anfernee Simons",24,"POR","SG",43,1493,1.697544991,-2.550548518,-0.853003527,1.356249584,1.659887551,,,
"Precious Achiuwa",24,"NYK"," TOR","PF"," C",60,1380,-2.069791285,1.210999261,-0.858792023,1.266498687,1.550043169,
"Dominick Barlow",20,"SAS","PF",29,374,-1.090988776,0.207893675,-0.883095101,0.336440877,0.411763461,,,
"Dillon Brooks",28,"HOU","SF",58,1809,-0.838358101,-0.052235298,-0.890593399,1.61204601,1.972951833,,,
"Furkan Korkmaz",26,"PHI","SG",35,300,-1.654534559,0.760265472,-0.894269087,0.267947512,0.327935761,,,
"Jalen Duren",20,"DET","C",51,1523,-0.425625629,-0.481739844,-0.907365473,1.346645174,1.67310461,,,
"Keldon Johnson",24,"SAS","SF",62,1833,0.370622555,-1.295154686,-0.924532131,1.605306887,1.964703951,,,
"Coby White",23,"CHI","PG",66,2425,0.110342792,-1.042688928,-0.932346136,2.084336579,2.513464698,,,
"Jaren Jackson Jr.",24,"MEM","C",58,1860,-1.169335176,0.232483288,-0.936851888,1.613404901,1.945576499,,,
"Sandro Mamukelashvili",24,"SAS","C",37,235,-1.050213601,0.048317825,-1.001895777,0.195369259,0.239108645,,,
"Jalen Green",21,"HOU","SG",67,2081,-0.701538179,-0.303923772,-1.005461951,1.717808512,2.102392507,,,
"Jeenathan Williams",24,"HOU","SG",14,82,-0.11334756,-0.925071045,-1.038418605,0.066144177,0.080952575,,,
"Julian Champagnie",22,"SAS","SF",59,1042,-1.352085025,0.308745585,-1.04333944,0.841478952,1.029869762,,,
"Josh Green",23,"DAL","SG",54,1436,-0.722447828,-0.365589116,-1.088036943,1.126293708,1.378449016,,,
"Jermaine Samuels",25,"HOU","SF",11,53,0.29378713,-1.386672199,-1.09288507,0.041101824,0.050303725,,,
"Monte Morris",28,"MIN"," DET","PG",18,251,-1.747700264,0.650638711,-1.097061553,0.193684009,0.234777604,,
"Xavier Tillman Sr.",25,"MEM"," BOS","C"," PF",40,793,-3.557179431,2.431603485,-1.125575946,0.601115689,0.735373098,
"Clint Capela",29,"ATL","C",58,1475,-0.525437441,-0.611335857,-1.136773298,1.108478744,1.377200863,,,
"Gary Trent Jr.",25,"TOR","SG",60,1645,-0.432,-0.707871506,-1.139995713,1.231414318,1.507104091,,,
"Jerami Grant",29,"POR","PF",54,1830,0.208381769,-1.361352579,-1.15297081,1.350082114,1.652339304,,,
"Cam Thomas",22,"BRK","SG",52,1563,0.786889528,-1.958676302,-1.171786774,1.145164228,1.401544279,,,
"John Collins",26,"UTA","PF",62,1754,-0.495360607,-0.700957134,-1.196317741,1.256547005,1.537863499,,,
"Cole Anthony",23,"ORL","PG",66,1512,-1.891092485,0.682231817,-1.208860668,1.073998313,1.314445696,,,
"Otto Porter Jr.",30,"TOR","SF",15,174,-2.172317941,0.961084571,-1.211233371,0.123168406,0.150743422,,,
"Kris Murray",23,"POR","SF",47,835,-2.268328302,1.040638863,-1.227689439,0.580526449,0.710495056,,,
"Jock Landale",28,"HOU","C",41,422,-1.919489087,0.676279626,-1.24320946,0.291,0.356157041,,,
"Dorian Finney-Smith",30,"BRK","PF",58,1644,-1.683404713,0.423525982,-1.259878731,1.12148099,1.372558823,,,
"Onyeka Okongwu",23,"ATL","C",53,1367,-0.255456833,-1.011006744,-1.266463577,0.925840712,1.150286945,,,
"Trey Lyles",28,"SAC","PF",49,968,-1.436371667,0.16219922,-1.274172447,0.649298416,0.806704093,,,
"Jaylin Williams",21,"OKC","C",55,683,-2.500645531,1.219028078,-1.281617453,0.456700318,0.558946658,,,
"Terance Mann",27,"LAC","SG",60,1519,-0.331279958,-0.966929517,-1.298209476,1.005918956,1.249778097,,,
"Ben Sheppard",22,"IND","SG",43,542,-1.159964158,-0.160029802,-1.31999396,0.352151862,0.424653716,,,
"Andrew Wiggins",28,"GSW","SF",57,1531,-0.338301203,-0.984561069,-1.322862271,0.984403939,1.223047318,,,
"Jarace Walker",20,"IND","PF",26,266,-2.583730135,1.237510193,-1.346219941,0.168815267,0.203571352,,,
"Ish Wainright",29,"POR"," PHO","SF",8,57,-3.134248736,1.771253813,-1.362994923,0.035134797,0.043000796,,
"Seth Curry",33,"DAL"," CHO","SG",44,616,-1.412550415,0.023212164,-1.389338251,0.375872338,0.457859091,,
"Jontay Porter",24,"TOR","PF",23,314,-2.749673462,1.358473145,-1.391200317,0.18997147,0.232502396,,,
"Spencer Dinwiddie",30,"BRK"," LAL","PG",62,1802,-0.777754005,-0.620257565,-1.398011571,1.087605974,1.33743959,,
"Cam Reddish",24,"LAL","SF",40,886,-2.130160423,0.726067743,-1.40409268,0.529565638,0.638593857,,,
"Evan Fournier",31,"DET"," NYK","SG",17,261,-1.833881264,0.419876911,-1.414004352,0.154657251,0.193387441,,
"Haywood Highsmith",27,"MIA","PF",50,962,-3.022438196,1.591262339,-1.431175857,0.563498934,0.700104737,,,
"Talen Horton-Tucker",23,"UTA","PG",43,841,-0.899633749,-0.536643803,-1.436277552,0.487141583,0.596203132,,,
"Cade Cunningham",22,"DET","PG",56,1885,0.271333828,-1.730488081,-1.459154253,1.070450223,1.329953307,,,
"Lamar Stevens",26,"MEM"," BOS","PF",31,382,-2.779250999,1.296167613,-1.483083386,0.211441309,0.258060785,,
"Mason Plumlee",33,"LAC","C",32,497,-1.192464586,-0.292095854,-1.48456044,0.275863404,0.34273938,,,
"Trevelin Queen",26,"ORL","SG",13,163,-3.441327516,1.935477299,-1.505850218,0.088070584,0.107787879,,,
"Peyton Watson",21,"DEN","SF",65,1199,-2.376712201,0.850057351,-1.52665485,0.636503355,0.779004106,,,
"Jabari Walker",21,"POR","SF",58,1276,-1.40385788,-0.126991622,-1.530849503,0.667053255,0.816393536,,,
"Miles McBride",23,"NYK","PG",54,814,-0.768332295,-0.789068205,-1.5574005,0.418378075,0.512044808,,,
"Svi Mykhailiuk",26,"BOS","SF",27,207,-1.432048764,-0.125639559,-1.557688323,0.105526372,0.131108523,,,
"Braxton Key",26,"DEN","SF",17,55,-1.597046224,0.026489618,-1.570556606,0.027808775,0.03403462,,,
"T.J. Warren",30,"MIN","SF",5,80,-3.809442319,2.233538601,-1.575903718,0.039955028,0.048900183,,,
"Dennis Schröder",30,"TOR"," BRK","PG",67,2042,-0.223836147,-1.358363362,-1.582199508,1.01128621,1.23769357,,
"Saben Lee",24,"PHO","PG",21,178,-1.838147887,0.255766138,-1.582381748,0.088377234,0.108163182,,,
"Dario Šarić",29,"GSW","C",61,1074,-0.474220309,-1.130778718,-1.604999027,0.517665095,0.643159663,,,
"Brandon Miller",21,"CHO","SF",61,1944,-0.760943823,-0.852995393,-1.613939216,0.933006832,1.125096474,,,
"Harrison Barnes",31,"SAC","PF",66,1943,-0.217085442,-1.401501908,-1.61858735,0.921456027,1.144839307,,,
"Kyle Lowry",37,"MIA"," PHI","PG",48,1351,-2.289479855,0.661522027,-1.627957829,0.638400274,0.79230106,,
"Nikola Vučević",33,"CHI","C",63,2171,-0.880150167,-0.752185641,-1.632335808,1.005203211,1.212156813,,,
"Craig Porter Jr.",23,"CLE","PG",43,578,-1.579416508,-0.056857611,-1.636274119,0.268731434,0.328895187,,,
"Amir Coffey",26,"LAC","SF",54,1027,-0.106097626,-1.530867642,-1.636965268,0.480031808,0.596403156,,,
"Keita Bates-Diop",28,"PHO"," BRK","SF",51,658,-1.634693659,-0.002947572,-1.637641231,0.305773582,0.374230354,,
"Pat Connaughton",31,"MIL","SF",61,1332,-0.841385698,-0.832090597,-1.673476295,0.592798102,0.725514095,,,
"Kevon Looney",27,"GSW","C",62,1050,-1.38510089,-0.290055407,-1.675156297,0.464064751,0.576565296,,,
"Quentin Grimes",23,"NYK"," DET","SG",51,1025,-1.649344959,-0.030915714,-1.680260672,0.455638439,0.552373572,,
"Jaden Ivey",21,"DET","SG",62,1775,-0.584646775,-1.105335625,-1.6899824,0.773100816,0.960519196,,,
"Dalen Terry",21,"CHI","SG",45,450,-2.915479155,1.194066806,-1.72141235,0.185650591,0.223872771,,,
"Santi Aldama",23,"MEM","PF",55,1430,-2.419062241,0.693482462,-1.725579779,0.593736235,0.715976048,,,
"Matt Ryan",26,"NOP","SF",20,354,-0.437989043,-1.310616623,-1.748605666,0.142739405,0.174695988,,,
"Bruce Brown",27,"IND"," TOR","SG"," PG",55,1563,-1.357951068,-0.406999023,-1.764950091,0.620459628,0.734031877,
"Josh Richardson",30,"MIA","SG",43,1103,-1.210589896,-0.58430302,-1.794892916,0.41537894,0.516076864,,,
"Stanley Umude",24,"DET","SG",21,232,-1.713811106,-0.083164795,-1.7969759,0.086817392,0.107864033,,,
"Toumani Camara",23,"POR","PF",64,1570,-2.723817925,0.902868513,-1.820949412,0.561631198,0.687369525,,,
"Isaiah Stewart",22,"DET","PF",44,1370,-2.022282857,0.187027218,-1.835255639,0.482607194,0.599602878,,,
"Patrick Williams",22,"CHI","PF",43,1174,-2.463293892,0.617776489,-1.845517402,0.401810966,0.484536753,,,
"Aaron Holiday",27,"HOU","PG",64,1041,-1.832701975,-0.037411552,-1.870113527,0.344865462,0.422074148,,,
"Collin Gillespie",24,"DEN","PG",19,161,-2.101074432,0.210287745,-1.890786686,0.051753582,0.063340204,,,
"James Bouknight",23,"CHO","SG",14,81,1.192212349,-3.098742931,-1.906530582,0.025266054,0.030467888,,,
"Charles Bassey",23,"SAS","C",19,205,-3.38127952,1.46402561,-1.91725391,0.06267977,0.076712554,,,
"Jeremiah Robinson-Earl",23,"NOP","PF",29,287,-1.873257255,-0.049970467,-1.923227722,0.086901902,0.106357552,,,
"Jacob Gilyard",25,"MEM","PG",37,654,-1.307875292,-0.722464764,-2.030340056,0.157263487,0.189641263,,,
"Chris Duarte",26,"SAC","SF",46,588,-2.084766792,0.046776453,-2.037990338,0.138143449,0.17163277,,,
"P.J. Washington",25,"CHO"," DAL","PF",59,1761,-2.313882492,0.222022779,-2.091859714,0.363385762,0.446991663,,
"Mouhamadou Gueye",25,"TOR","PF",2,10,-9.821677596,7.683383435,-2.138294161,0.001780048,0.002178566,,,
"Marvin Bagley III",24,"DET"," WAS","C",44,932,-0.030748198,-2.11239285,-2.143141048,0.164412443,0.200755533,,
"Cody Martin",28,"CHO","SF",28,753,-2.88238916,0.738480941,-2.14390822,0.132239492,0.15946527,,,
"Marcus Sasser",23,"DET","PG",57,941,-1.02012009,-1.14616165,-2.166281739,0.152911134,0.1899805,,,
"Blake Wesley",20,"SAS","SG",46,617,-0.986819217,-1.186810199,-2.173629416,0.097820894,0.119721095,,,
"Duop Reath",27,"POR","C",53,937,-0.873844474,-1.341597499,-2.215441973,0.124896685,0.15285863,,,
"Bennedict Mathurin",21,"IND","SF",59,1538,-0.018251714,-2.203576916,-2.22182863,0.201589763,0.243093538,,,
"Christian Braun",22,"DEN","SG",67,1289,-2.099184233,-0.124999647,-2.224183881,0.167202866,0.204636343,,,
"Danuel House Jr.",30,"PHI","SF",34,509,-1.551760475,-0.672965042,-2.224725517,0.065764389,0.08048776,,,
"Ricky Council IV",22,"PHI","SG",22,202,1.094036838,-3.339009173,-2.244972335,0.023750613,0.029067914,,,
"Troy Brown Jr.",24,"MIN"," DET","SF",44,495,-1.23134939,-1.01694424,-2.24829363,0.056377081,0.065218771,,
"Justin Champagnie",22,"WAS","SF",5,44,-2.958281666,0.683505457,-2.274776209,0.004427267,0.005418446,,,
"Jordan Clarkson",31,"UTA","SG",54,1649,0.306397308,-2.58211211,-2.275714802,0.164013378,0.200732791,,,
"GG Jackson II",19,"MEM","PF",34,758,-1.515031432,-0.785691911,-2.300723343,0.064762142,0.078095524,,,
"Tristan Thompson",32,"CLE","C",37,461,-2.281814633,-0.028009391,-2.309824024,0.036864914,0.045118253,,,
"Corey Kispert",24,"WAS","SF",65,1521,0.275775903,-2.599330647,-2.323554745,0.110374893,0.13508569,,,
"Bruno Fernando",25,"ATL","C",29,374,-3.238515034,0.897348893,-2.341166141,0.023241787,0.02887616,,,
"Alec Burks",32,"DET"," NYK","SG",58,1118,-0.122751616,-2.21871452,-2.341466136,0.065592047,0.096452311,,
"Jordan Nwora",25,"TOR"," IND","SF",38,434,-0.99511347,-1.356244086,-2.351357556,0.024058236,0.030447233,,
"Kessler Edwards",23,"SAC","SF",42,195,-1.888790933,-0.488547633,-2.377338566,0.00806,0.010008277,,,
"A.J. Green",24,"MIL","SG",44,446,0.090987459,-2.47939344,-2.388405981,0.015682439,0.019193433,,,
"Cameron Payne",29,"MIL"," PHI","PG",63,1029,-0.612962842,-1.779376411,-2.392339253,0.033678394,0.041218333,,
"Kevin Knox",24,"DET","SF",31,560,-1.216494513,-1.228213379,-2.444707892,0.001614695,0.002006137,,,
"Daniel Theis",31,"LAC"," IND","C",51,862,-2.079165772,-0.370669239,-2.449835011,-0.0000511,0.002169728,,
"Andrew Nembhard",24,"IND","PG",54,1302,-1.371453773,-1.135170009,-2.506623782,-0.042596015,-0.051365782,,,
"Cody Zeller",31,"NOP","C",39,301,-2.859854255,0.300024447,-2.559829809,-0.019057423,-0.023324011,,,
"Caleb Houstan",21,"ORL","SF",50,701,-1.355466713,-1.220303351,-2.575770064,-0.050573584,-0.061896028,,,
"Jahmi'us Ramsey",22,"TOR","SG",3,43,-2.713535955,0.113000356,-2.600535599,-0.003706097,-0.00453582,,,
"Taylor Hendricks",20,"UTA","PF",25,454,-3.097026406,0.49391213,-2.603114276,-0.039798611,-0.048708747,,,
"Cedi Osman",28,"SAS","SF",63,1099,-0.979916959,-1.632638097,-2.612555056,-0.102746268,-0.125749164,,,
"Kenyon Martin Jr.",23,"PHI"," LAC","SF",50,578,-1.921275521,-0.728362804,-2.649638325,-0.066393342,-0.081842228,,
"Danilo Gallinari",35,"WAS"," MIL"," DET","PF"," SF",43,569,-0.507618136,-2.154017369,-2.661635506,-0.070024748,-0.075553093
"Jamal Cain",24,"MIA","PF",17,226,-2.894245234,0.225051288,-2.669193945,-0.028522486,-0.035437027,,,
"Orlando Robinson",23,"MIA","C",28,276,-3.111037403,0.417435691,-2.693601712,-0.038706843,-0.04809032,,,
"Patrick Baldwin Jr.",21,"WAS","SF",24,203,-3.646677676,0.895329047,-2.751348629,-0.035211476,-0.043094642,,,
"Torrey Craig",33,"CHI","SF",39,805,-1.930884624,-0.836101868,-2.766986492,-0.144662027,-0.174445386,,,
"Keon Johnson",21,"BRK","SG",4,51,-0.730677893,-2.036676063,-2.767353956,-0.009286836,-0.011365978,,,
"Shaedon Sharpe",20,"POR","SG",32,1059,-1.775445793,-0.994604691,-2.770050484,-0.192982384,-0.236187395,,,
"Jae Crowder",33,"MIL","PF",36,858,-2.584808898,-0.187213439,-2.772022338,-0.158533761,-0.194026394,,,
"Chimezie Metu",26,"PHO","C",37,447,-2.458891836,-0.334799859,-2.793691696,-0.088009831,-0.107713524,,,
"JaVale McGee",36,"SAC","C",40,315,-2.69345548,-0.108177176,-2.801632656,-0.063247896,-0.078580719,,,
"Onuralp Bitim",24,"CHI","SG",12,175,-2.142156059,-0.670670905,-2.812826963,-0.035992343,-0.043402531,,,
"Jake LaRavia",22,"MEM","PF",23,414,-2.868392749,0.044158122,-2.824234627,-0.0889,-0.107195865,,,
"Kobe Bufkin",20,"ATL","SG",9,89,-2.762783031,-0.119719705,-2.882502736,-0.022045745,-0.027390167,,,
"Jaden Springer",21,"PHI"," BOS","SG"," PG",40,399,-3.581364177,0.681883131,-2.899481046,-0.102648347,-0.127152071,
"Derrick Rose",35,"MEM","PG",24,399,-1.560107748,-1.344935395,-2.905043143,-0.104159815,-0.125604483,,,
"Christian Wood",28,"LAL","PF",50,872,-3.710678139,0.779386702,-2.931291437,-0.240028738,-0.289446419,,,
"Wendell Moore Jr.",22,"MIN","SG",17,50,-5.951132858,2.996315249,-2.954817609,-0.014433871,-0.017665335,,,
"Vasilije Micić",30,"CHO"," OKC","PG",47,810,-2.074926795,-0.909345886,-2.98427268,-0.248407001,-0.301755501,,
"Nick Richards",26,"CHO","C",58,1541,-2.132557844,-0.860553157,-2.993111001,-0.480826191,-0.579819819,,,
"Jordan Goodwin",25,"PHO"," MEM","PG",48,782,-3.498918892,0.475855561,-3.023063331,-0.256345796,-0.312492018,,
"Lester Quinones",23,"GSW","SG",30,358,-1.920651256,-1.110009578,-3.030660834,-0.118665401,-0.147432771,,,
"Killian Hayes",22,"DET","PG",42,1008,-2.762926194,-0.282808187,-3.045734382,-0.344404331,-0.42789629,,,
"Kyle Kuzma",28,"WAS","PF",65,2092,-1.03780822,-2.031808841,-3.069617061,-0.745778509,-0.912743847,,,
"Bojan Bogdanović",34,"DET"," NYK","PF"," SF",42,1240,-0.596539106,-2.508771354,-3.10531046,-0.469,-0.571192042,
"Skylar Mays",26,"POR"," LAL","PG"," SG",33,421,-1.928543943,-1.181235325,-3.109779269,-0.157647447,-0.194624143,
"Jeremy Sochan",20,"SAS","PF",67,1981,-2.644673737,-0.475924798,-3.120598535,-0.763104958,-0.933949352,,,
"Izaiah Brockington",24,"NOP","PG",1,3,-1.171339477,-1.966599403,-3.13793888,-0.001187347,-0.001453171,,,
"Georges Niang",30,"CLE","PF",67,1468,-2.747272397,-0.393058381,-3.140330778,-0.579429987,-0.709153118,,,
"Grant Williams",25,"DAL"," CHO","PF",64,1762,-2.493781731,-0.649867876,-3.143649608,-0.705336002,-0.869635768,,
"Jordan Hawkins",21,"NOP","SG",57,1085,-1.5234238,-1.624872049,-3.148295849,-0.435886378,-0.533472881,,,
"Taurean Prince",29,"LAL","PF",65,1839,-2.720097773,-0.443754497,-3.16385227,-0.750674353,-0.905224955,,,
"Jaxson Hayes",23,"LAL","C",57,668,-2.715316021,-0.449177936,-3.164493957,-0.272920641,-0.329110185,,,
"Jerome Robinson",26,"GSW","SG",17,65,-3.643622264,0.462232605,-3.181389659,-0.027135654,-0.033713994,,,
"Reggie Bullock",32,"HOU","SF",29,269,-3.098533698,-0.084794816,-3.183328514,-0.112786949,-0.138037759,,,
"Jason Preston",24,"UTA","PG",3,26,-2.562326575,-0.626173895,-3.18850047,-0.010978197,-0.013436003,,,
"Patrick Beverley",35,"PHI"," MIL","PG",62,1205,-2.747488093,-0.473042761,-3.220530854,-0.532814518,-0.652039991,,
"Leaky Black",24,"CHO","SF",22,218,-2.60537399,-0.685691472,-3.291065462,-0.105,-0.127002945,,,
"Olivier Sarr",24,"OKC","C",14,95,-3.422052864,0.128438923,-3.293613941,-0.045890792,-0.05616485,,,
"Marcus Morris",34,"PHI","PF",37,637,-2.407792726,-0.888886085,-3.296678811,-0.309784717,-0.379139504,,,
"Landry Shamet",26,"WAS","SG",46,726,-1.750367796,-1.562770957,-3.313138753,-0.360487469,-0.441193618,,,
"Ziaire Williams",22,"MEM","SF",51,1038,-3.041683775,-0.305811897,-3.347495673,-0.534294886,-0.644296774,,,
"Reggie Jackson",33,"DEN","PG",67,1474,-1.794758549,-1.574869146,-3.369627695,-0.78,-0.954,,,
"Filip Petrušev",23,"SAC"," PHI","C",3,10,-3.240125297,-0.188906395,-3.429031691,-0.005556751,-0.00699502,,
"Nassir Little",23,"PHO","SF",36,430,-2.327650415,-1.141271171,-3.468921586,-0.250867373,-0.30703171,,,
"Jordan Poole",24,"WAS","SG",65,1898,-1.898414462,-1.570984674,-3.469399136,-1.112994886,-1.362172846,,,
"Kevon Harris",26,"ORL","SG",2,6,-3.611150867,0.111945242,-3.499205626,-0.003604488,-0.004411463,,,
"Jaden Hardy",21,"DAL","SG",59,834,-1.132074253,-2.423864463,-3.555938716,-0.531392903,-0.650361463,,,
"MarJon Beauchamp",23,"MIL","SF",45,589,-2.135268038,-1.422666803,-3.557934841,-0.374220046,-0.458000654,,,
"Jaylen Nowell",24,"MEM","SG",9,156,-2.940840575,-0.617920869,-3.558761444,-0.099195009,-0.119617511,,,
"Anthony Black",20,"ORL","PG",60,1090,-4.131949061,0.56203923,-3.569909831,-0.69893121,-0.855408347,,,
"Lindy Waters III",26,"OKC","SG",28,186,-1.218597058,-2.367572906,-3.586169964,-0.120998412,-0.148087609,,,
"Terry Taylor",24,"CHI","PF",27,174,-3.228124788,-0.383463748,-3.611588536,-0.114513889,-0.138090278,,,
"Jalen Wilson",23,"BRK","PF",29,412,-1.756408269,-1.870540562,-3.626948831,-0.278064982,-0.340318337,,,
"Drew Eubanks",26,"PHO","C",61,959,-2.899707305,-0.74775519,-3.647462496,-0.657504631,-0.804707161,,,
"Bilal Coulibaly",19,"WAS","SF",63,1715,-3.214570618,-0.449449157,-3.664019775,-1.19763551,-1.465762864,,,
"Usman Garuba",21,"GSW","PF",3,8,-4.527527232,0.823456117,-3.704071114,-0.005725657,-0.007113695,,,
"Trey Jemison",24,"MEM"," WAS","C",15,290,-3.539063318,-0.265898421,-3.80496174,-0.225390041,-0.272106311,,
"Johnny Juzang",22,"UTA","SG",8,102,-1.203730026,-2.610562091,-3.814292117,-0.079550639,-0.097360484,,,
"Jericho Sims",25,"NYK","C",38,517,-2.93841013,-0.880133723,-3.818543852,-0.408,-0.498869757,,,
"Jeff Green",37,"HOU","PF",63,1029,-2.883117272,-0.972763522,-3.855880795,-0.826984816,-1.01213067,,,
"James Wiseman",22,"DET","C",47,697,-2.006091609,-1.858982703,-3.865074312,-0.565531352,-0.702629862,,,
"Shake Milton",27,"MIN"," DET"," NYK","SG",44,559,-3.379544608,-0.512351067,-3.891895676,-0.461184068,-0.565332485,
"Thomas Bryant",26,"MIA","C",29,306,-2.791173628,-1.11644989,-3.907623518,-0.256552157,-0.318746619,,,
"Jevon Carter",28,"CHI","PG",64,880,-3.670197824,-0.245590122,-3.915787946,-0.730785727,-0.881241612,,,
"Luka Garza",25,"MIN","C",16,63,0.601817729,-4.570468906,-3.968651177,-0.054692305,-0.06693685,,,
"Richaun Holmes",30,"DAL"," WAS","C"," PF",34,409,-2.627624739,-1.34526934,-3.972894079,-0.358913372,-0.439267112,
"Gabe Vincent",27,"LAL","PG",5,127,-3.737723956,-0.24663242,-3.984356375,-0.111405365,-0.134341764,,,
"Doug McDermott",32,"SAS"," IND","SF",52,766,-0.922794583,-3.070120853,-3.992915436,-0.679119655,-0.826970001,,
"Dalano Banton",24,"POR"," BOS","PG",40,574,-2.714019434,-1.282159151,-3.996178586,-0.505941327,-0.62309364,,
"Mo Bamba",25,"PHI","C",45,545,-4.573522354,0.554117861,-4.019404492,-0.491214613,-0.601188034,,,
"Max Christie",20,"LAL","SG",54,843,-3.529731938,-0.49482137,-4.024553308,-0.758855682,-0.915090675,,,
"Jules Bernard",24,"WAS","SG",10,43,-2.490426299,-1.55271375,-4.043140048,-0.039403505,-0.048225185,,,
"Ochai Agbaji",23,"UTA"," TOR","SG",66,1296,-3.257165085,-0.824980395,-4.08214548,-1.209167021,-1.479876056,,
"Chuma Okeke",25,"ORL","SF",39,397,-3.605819442,-0.477666723,-4.083486165,-0.37127769,-0.454399561,,,
"Andre Jackson Jr.",22,"MIL","SG",49,511,-2.544639286,-1.59489138,-4.139530666,-0.495050047,-0.605882147,,,
"Bryce McGowens",21,"CHO","SG",50,789,-2.735328024,-1.51239491,-4.247722934,-0.81461091,-0.982324921,,,
"Ousmane Dieng",20,"OKC","PF",30,338,-2.580044981,-1.686382324,-4.266427305,-0.351496157,-0.430189327,,,
"Maxi Kleber",32,"DAL","C",30,630,-3.952584581,-0.325427547,-4.278012128,-0.663433744,-0.811963687,,,
"Keyonte George",20,"UTA","PG",60,1559,-1.540861869,-2.742222771,-4.28308464,-1.633591274,-1.999320663,,,
"Matthew Hurt",23,"MEM","PF",8,113,-3.894556633,-0.409418336,-4.303974969,-0.12,-0.144868194,,,
"Bismack Biyombo",31,"MEM"," OKC","C",35,750,-5.002828328,0.637399028,-4.3654293,-0.823582334,-0.995344413,,
"Jay Huff",25,"DEN","C",14,36,-1.02328877,-3.370552826,-4.393841596,-0.040249724,-0.049260856,,,
"Julian Phillips",20,"CHI","SF",40,323,-3.279640902,-1.115282402,-4.394923303,-0.355895164,-0.429167698,,,
"Garrison Mathews",27,"ATL","SG",50,670,-2.346467284,-2.096014449,-4.442481733,-0.764203109,-0.949464468,,,
"Armoni Brooks",25,"BRK","PG",10,104,-3.865059806,-0.587982357,-4.453042162,-0.119446932,-0.146188782,,,
"Julian Strawther",21,"DEN","SF",41,497,-2.792263529,-1.683697977,-4.475961507,-0.579141567,-0.708800127,,,
"Gradey Dick",20,"TOR","SG",46,839,-2.294483159,-2.295999294,-4.590482453,-1.026548507,-1.2563728,,,
"Bones Hyland",23,"LAC","PG",28,411,-3.326651346,-1.273009013,-4.599660359,-0.508,-0.63134289,,,
"Aleksej Pokusevski",22,"CHO"," OKC","PF",15,142,-5.129136615,0.524955067,-4.604181549,-0.174441966,-0.217413205,,
"Dexter Dennis",24,"DAL","SG",4,30,-1.745792961,-2.922955863,-4.668748824,-0.038343906,-0.046928362,,,
"Jett Howard",20,"ORL","SF",13,49,-2.790099645,-1.930340192,-4.720439838,-0.063691194,-0.077950417,,,
"Wesley Matthews",37,"ATL","SG",26,285,-4.042659953,-0.679142584,-4.721802537,-0.370636389,-0.460487635,,,
"Ashton Hagans",24,"POR","PG",13,215,-5.37072164,0.624090205,-4.746631435,-0.280948438,-0.343847343,,,
"David Roddy",22,"MEM"," PHO","PF",58,1155,-4.107824079,-0.640289362,-4.748113442,-1.521677881,-1.839048485,,
"P.J. Tucker",38,"LAC"," PHI","PF",20,319,-4.796581499,0.022883385,-4.773698114,-0.426499782,-0.531902731,,
"Damian Jones",28,"CLE","C",31,230,-3.859608989,-0.915101964,-4.774710952,-0.305631717,-0.374056728,,,
"Vit Krejci",23,"ATL","PG",6,110,-4.196927292,-0.591792937,-4.788720229,-0.14726588,-0.1829667,,,
"Colby Jones",21,"SAC","SG",19,126,-4.654190783,-0.282091669,-4.936282452,-0.178767741,-0.222105375,,,
"Danny Green",36,"PHI","SG",2,18,-6.434906574,1.344202715,-5.090703859,-0.027296228,-0.033407323,,,
