,,,,,,"~~~eRAPTOR~~~",,,"&nbsp",,,,
"Player","Age","Team(s)","Pos","G","MP","Off","Def","Tot","WAR","WAR/82",,,
"Khris Middleton",32,"MIL","SF",43,1129,2.793423568,0.116546393,2.90996996,3.469202904,4.245890121,,,
"De'Aaron Fox",26,"SAC","PG",58,2069,2.548102245,0.360195074,2.908297319,6.325404845,7.858836323,,,
"Neemias Queta",24,"BOS","C",24,285,0.514950585,2.36952002,2.884470604,0.868793695,1.079410348,,,
"Herbert Jones",25,"NOP","SF",61,1791,1.093909934,1.782257933,2.876167868,5.485673278,6.713809087,,,
"Amen Thompson",21,"HOU","SF",48,961,-0.042754831,2.887209752,2.84445492,2.907874841,3.558891596,,,
"Fred VanVleet",29,"HOU","PG",60,2209,1.564530476,1.199453884,2.76398436,6.582580443,8.056292482,,,
"T.J. McConnell",31,"IND","PG",57,1014,2.60601456,0.144102591,2.750117152,3.03235456,3.656662852,,,
"Domantas Sabonis",27,"SAC","C",66,2370,2.92044103,-0.201124684,2.719316346,6.990072933,8.684636069,,,
"Mason Jones",25,"SAC","SG",1,13,-1.408024537,4.076646401,2.668621864,0.037966139,0.047170051,,,
"Jamal Murray",26,"DEN","PG",51,1631,2.726096533,-0.068918854,2.657177679,4.790198522,5.862631027,,,
"Gary Payton II",31,"GSW","SG",31,472,0.179558892,2.447184207,2.626743099,1.367184211,1.698622808,,,
"Trayce Jackson-Davis",23,"GSW","PF",53,747,1.748003845,0.830393553,2.578397398,2.143136474,2.66268471,,,
"Josh Minott",21,"MIN","SF",24,67,0.600381289,1.961656909,2.562038198,0.191919467,0.234886512,,,
"Donte DiVincenzo",27,"NYK","SG",66,1775,1.675139521,0.878134193,2.553273713,5.114997493,6.260146185,,,
"Alex Caruso",29,"CHI","SG",59,1640,0.062785626,2.442499076,2.505284702,4.603073844,5.550765518,,,
"Isaiah Hartenstein",25,"NYK","C",61,1520,-0.315651742,2.800672985,2.485021242,4.320411413,5.287667699,,,
"Jordan Walsh",19,"BOS","SF",4,33,-5.810402054,8.292935284,2.48253323,0.093017078,0.115566673,,,
"Mike Conley",36,"MIN","PG",62,1792,1.498129352,0.967435669,2.465565021,5.034320475,6.161407148,,,
"Tyrese Maxey",23,"PHI","PG",58,2161,3.490864082,-1.069675146,2.421188936,6.044127347,7.397290186,,,
"Brandon Ingram",26,"NOP","SF",61,2026,2.675631068,-0.262222798,2.41340827,5.666274833,6.934843826,,,
"Chris Paul",38,"GSW","PG",42,1131,1.217997104,1.138368652,2.356365756,3.101544433,3.853433992,,,
"Jarrett Allen",25,"CLE","C",62,1960,1.073172003,1.281386871,2.354558874,5.381935182,6.586846044,,,
"Karl-Anthony Towns",28,"MIN","PF",60,1969,1.09219255,1.182157347,2.274349897,5.316382755,6.5066177,,,
"Jordan Ford",25,"SAC","PG",6,22,2.804816554,-0.530928921,2.273887633,0.059295319,0.073669942,,,
"Desmond Bane",25,"MEM","SG",38,1309,2.820575457,-0.649280468,2.171294989,3.468190895,4.182230197,,,
"Sidy Cissoko",19,"SAS","SF",6,32,-4.41850269,6.581458816,2.162956126,0.084756274,0.103731559,,,
"Mark Williams",22,"CHO","C",19,508,1.448578493,0.704386536,2.15296503,1.34,1.619081187,,,
"Rudy Gobert",31,"MIN","C",63,2137,-1.02152966,3.161565697,2.140036037,5.605939168,6.861000176,,,
"Alperen Şengün",21,"HOU","C",63,2046,1.813563467,0.274779324,2.088342791,5.306771717,6.494854938,,,
"Ja Morant",24,"MEM","PG",9,318,2.250996058,-0.172223323,2.078772735,0.825670559,0.995661556,,,
"Chet Holmgren",21,"OKC","C",67,2023,0.454251052,1.57509786,2.029348912,5.186906782,6.34815457,,,
"Kentavious Caldwell-Pope",30,"DEN","SG",61,1929,-0.08814174,2.091548202,2.003406463,4.94014698,6.046150036,,,
"Brandin Podziemski",20,"GSW","SG",58,1573,0.593224858,1.40598556,1.999210419,3.993083114,4.961103263,,,
"Scottie Barnes",22,"TOR","SG",60,2094,1.289960417,0.685282791,1.975243208,5.295910782,6.481562449,,,
