"Player","Season","Team","Offensive Archetype","Minutes","Pos","Age","LEBRON","O-LEBRON","D-LEBRON","WAR","LEBRON Contract Value","boxLEBRON","boxOLEBRON","boxDLEBRON"
"Julian Phillips","2023-24","CHI","Stationary Shooter","154","SF","20","-1.22","-1.09","-0.13","0.10","416,175.00","-1.24","-1.07","-0.17"
"Chuma Okeke","2023-24","ORL","Movement Shooter","368","SF","25","-1.23","-1.43","0.20","0.30","985,152.00","-1.46","-1.38","-0.09"
"Royce O'Neale","2023-24","BRK","Stationary Shooter","1,117","SF","30","-1.23","-1.68","0.44","0.90","2,978,372.00","-0.97","-1.35","0.39"
"Drew Peterson","2023-24","BOS","Low Minute","3","PF","24","-1.24","-0.28","-0.97","0.00","6,760.00","-1.24","-0.27","-0.97"
"Jaden Hardy","2023-24","DAL","Secondary Ball Handler","693","SG","21","-1.24","-0.17","-1.08","0.50","1,837,237.00","-1.64","-0.14","-1.49"
"Sasha Vezenkov","2023-24","SAC","Athletic Finisher","419","PF","28","-1.24","-1.21","-0.03","0.30","1,112,186.00","-0.90","-0.65","-0.25"
"Terry Taylor","2023-24","CHI","Athletic Finisher","128","PF","24","-1.24","-1.06","-0.18","0.10","339,744.00","-1.20","-1.05","-0.16"
"Christian Wood","2023-24","LAL","Stretch Big","782","PF","28","-1.25","-1.91","0.66","0.60","2,058,917.00","-0.57","-1.63","1.06"
"Wesley Matthews","2023-24","ATL","Movement Shooter","213","SG","37","-1.25","-1.52","0.26","0.20","559,633.00","-1.22","-1.63","0.41"
"Cade Cunningham","2023-24","DET","Primary Ball Handler","1,306","PG","22","-1.26","0.11","-1.37","1.00","3,411,813.00","-1.36","0.37","-1.74"
"Terquavion Smith","2023-24","PHI","Low Minute","24","PG","21","-1.26","-0.37","-0.88","0.00","63,451.00","-1.36","-0.39","-0.97"
"Wendell Moore Jr.","2023-24","MIN","Low Minute","37","SG","22","-1.26","-0.53","-0.72","0.00","95,614.00","-1.11","-0.37","-0.74"
"Tim Hardaway Jr.","2023-24","DAL","Movement Shooter","1,359","SF","31","-1.27","1.14","-2.41","1.00","3,518,274.00","-0.77","1.35","-2.12"
"Josh Richardson","2023-24","MIA","Movement Shooter","984","SG","30","-1.28","-1.27","-0.01","0.70","2,519,836.00","-1.43","-1.13","-0.30"
"Omer Yurtseven","2023-24","UTA","Roll + Cut Big","265","C","25","-1.28","-1.61","0.33","0.20","679,950.00","-0.99","-1.55","0.56"
"Grant Williams","2023-24","DAL","Stationary Shooter","1,169","PF","25","-1.29","-1.06","-0.23","0.90","2,969,308.00","-1.97","-1.53","-0.45"
"Jarred Vanderbilt","2023-24","LAL","Roll + Cut Big","565","PF","24","-1.32","-2.42","1.09","0.40","1,398,695.00","-1.61","-2.38","0.77"
"Patty Mills","2023-24","ATL","Movement Shooter","175","PG","35","-1.32","-1.16","-0.16","0.10","433,662.00","-1.42","-1.31","-0.11"
"JD Davison","2023-24","BOS","Low Minute","6","SG","21","-1.33","-0.33","-1.00","0.00","13,803.00","-1.25","-0.28","-0.97"
"Maxwell Lewis","2023-24","LAL","Secondary Ball Handler","66","SF","21","-1.33","-1.21","-0.13","0.00","162,928.00","-1.17","-0.98","-0.19"
"Moussa Diabate","2023-24","LAC","Roll + Cut Big","58","C","22","-1.33","-0.22","-1.11","0.00","142,268.00","-1.38","-0.39","-0.99"
"Daniel Theis","2023-24","IND/LAC","Roll + Cut Big","623","C","31","-1.34","-1.20","-0.14","0.40","1,525,158.00","-1.17","-1.50","0.34"
"Derrick Rose","2023-24","MEM","Secondary Ball Handler","304","PG","35","-1.34","-0.73","-0.62","0.20","741,305.00","-1.47","-0.69","-0.78"
"Hunter Tyson","2023-24","DEN","Low Minute","27","PF","23","-1.34","-0.82","-0.53","0.00","65,135.00","-1.24","-0.70","-0.54"
"Jordan Walsh","2023-24","BOS","Low Minute","6","SF","19","-1.34","-0.35","-0.99","0.00","15,362.00","-1.24","-0.29","-0.95"
"Otto Porter Jr.","2023-24","TOR","Stationary Shooter","174","SF","30","-1.34","-1.73","0.39","0.10","425,940.00","-1.34","-1.61","0.27"
"Javonte Smart","2023-24","PHI","Low Minute","1","PG","24","-1.36","-0.41","-0.95","0.00","1,595.00","-1.33","-0.40","-0.94"
"Gary Harris","2023-24","ORL","Movement Shooter","616","SG","29","-1.37","-0.93","-0.44","0.40","1,461,429.00","-1.42","-1.10","-0.32"
"Taj Gibson","2023-24","NYK","Roll + Cut Big","97","PF","38","-1.37","-1.54","0.17","0.10","231,310.00","-1.30","-1.37","0.07"
"Cody Martin","2023-24","CHO","Secondary Ball Handler","419","SF","28","-1.38","-2.14","0.76","0.30","981,619.00","-1.49","-1.95","0.46"
"Jock Landale","2023-24","HOU","Roll + Cut Big","249","C","28","-1.38","-1.11","-0.26","0.20","589,152.00","-1.63","-1.20","-0.43"
"Joshua Primo","2023-24","LAC","Low Minute","5","SG","21","-1.38","-0.47","-0.91","0.00","11,719.00","-1.23","-0.37","-0.86"
"Vasilije Micic","2023-24","OKC","Secondary Ball Handler","322","PG","30","-1.39","-0.63","-0.75","0.20","754,583.00","-2.00","-0.81","-1.19"
"Alec Burks","2023-24","DET","Secondary Ball Handler","832","SG","32","-1.40","0.29","-1.68","0.60","1,930,485.00","-0.77","0.79","-1.57"
"Jevon Carter","2023-24","CHI","Movement Shooter","647","PG","28","-1.41","-0.74","-0.67","0.40","1,480,678.00","-1.77","-0.98","-0.79"
"Cameron Payne","2023-24","MIL","Stationary Shooter","659","PG","29","-1.42","-0.24","-1.18","0.40","1,487,052.00","-0.75","0.17","-0.92"
"Peyton Watson","2023-24","DEN","Athletic Finisher","836","SF","21","-1.43","-2.25","0.82","0.50","1,886,002.00","-0.81","-1.66","0.85"
"Taurean Prince","2023-24","LAL","Stationary Shooter","1,393","PF","29","-1.44","-1.47","0.02","0.90","3,086,556.00","-1.74","-2.06","0.33"
"Andrew Nembhard","2023-24","IND","Primary Ball Handler","749","PG","24","-1.45","-0.62","-0.83","0.50","1,649,733.00","-1.88","-0.24","-1.64"
"Eric Gordon","2023-24","PHO","Stationary Shooter","1,212","SG","35","-1.45","-0.16","-1.29","0.80","2,665,234.00","-1.02","-0.18","-0.84"
"Simone Fontecchio","2023-24","UTA","Movement Shooter","1,084","SF","28","-1.45","-0.89","-0.55","0.70","2,398,029.00","-1.60","-1.00","-0.61"
"Kris Murray","2023-24","POR","Stationary Shooter","347","SF","23","-1.46","-1.95","0.49","0.20","753,879.00","-1.97","-2.04","0.07"
"Terance Mann","2023-24","LAC","Athletic Finisher","1,005","SG","27","-1.47","-0.94","-0.53","0.60","2,176,757.00","-1.30","-1.00","-0.30"
"Xavier Moon","2023-24","LAC","Low Minute","12","SG","29","-1.48","-0.55","-0.93","0.00","24,741.00","-1.24","-0.39","-0.85"
"Danny Green","2023-24","PHI","Low Minute","18","SG","36","-1.49","-0.61","-0.88","0.00","39,000.00","-1.45","-0.53","-0.91"
"Kira Lewis Jr.","2023-24","NOP/TOR","Secondary Ball Handler","145","PG","22","-1.49","-0.79","-0.70","0.10","308,095.00","-1.31","-0.61","-0.69"
"Lonnie Walker IV","2023-24","BRK","Secondary Ball Handler","548","SG","25","-1.49","-0.46","-1.03","0.30","1,159,004.00","-0.66","0.14","-0.81"
"Cory Joseph","2023-24","GSW","Movement Shooter","291","PG","32","-1.50","-1.62","0.12","0.20","609,795.00","-1.56","-1.48","-0.08"
"Jalen Pickett","2023-24","DEN","Secondary Ball Handler","97","SG","24","-1.50","-0.92","-0.58","0.10","203,053.00","-1.55","-0.94","-0.61"
"Patrick Williams","2023-24","CHI","Stationary Shooter","1,174","PF","22","-1.50","-1.27","-0.23","0.70","2,464,200.00","-1.64","-1.94","0.31"
"Jae'Sean Tate","2023-24","HOU","Athletic Finisher","799","SF","28","-1.51","-2.53","1.02","0.50","1,664,706.00","-2.41","-2.71","0.30"
"Miles Bridges","2023-24","CHO","Shot Creator","1,302","SF","25","-1.51","-0.93","-0.59","0.80","2,689,996.00","-1.41","-0.43","-0.97"
"Nickeil Alexander-Walker","2023-24","MIN","Stationary Shooter","1,105","SG","25","-1.51","-1.90","0.39","0.70","2,281,546.00","-0.70","-1.32","0.61"
"Deandre Ayton","2023-24","POR","Post Scorer","1,018","C","25","-1.52","-2.11","0.59","0.60","2,086,630.00","-1.58","-2.21","0.62"
"Jaden McDaniels","2023-24","MIN","Stationary Shooter","1,093","SF","23","-1.52","-2.03","0.51","0.60","2,245,499.00","-1.26","-1.86","0.60"
"Maxi Kleber","2023-24","DAL","Stretch Big","243","C","32","-1.52","-2.06","0.54","0.10","498,694.00","-1.64","-1.86","0.22"
"Ricky Council IV","2023-24","PHI","Low Minute","32","SG","22","-1.52","-0.60","-0.92","0.00","65,648.00","-1.51","-0.52","-0.99"
"Precious Achiuwa","2023-24","TOR/NYK","Athletic Finisher","727","C","24","-1.53","-1.15","-0.39","0.40","1,470,969.00","-0.97","-1.13","0.16"
"Tre Mann","2023-24","OKC","Secondary Ball Handler","119","PG","22","-1.53","-0.37","-1.16","0.10","243,502.00","-1.48","-0.24","-1.24"
"Dalano Banton","2023-24","BOS","Athletic Finisher","162","PG","24","-1.54","-0.70","-0.85","0.10","324,876.00","-1.61","-0.78","-0.83"
"Jaylen Nowell","2023-24","MEM","Secondary Ball Handler","156","SG","24","-1.54","-1.05","-0.49","0.10","313,771.00","-1.21","-0.84","-0.37"
"Luguentz Dort","2023-24","OKC","Movement Shooter","1,309","SF","24","-1.54","-1.46","-0.08","0.80","2,623,285.00","-0.17","-0.66","0.49"
"Nicolas Batum","2023-24","LAC/PHI","Athletic Finisher","846","PF","35","-1.54","-1.42","-0.13","0.50","1,691,850.00","-1.29","-1.69","0.40"
"Mike Muscala","2023-24","WAS/DET","Stretch Big","423","C","32","-1.55","-1.22","-0.33","0.20","837,031.00","-1.49","-1.27","-0.22"
"Pat Connaughton","2023-24","MIL","Stationary Shooter","873","SF","31","-1.55","-1.22","-0.33","0.50","1,734,124.00","-1.78","-1.27","-0.51"
"Jae Crowder","2023-24","MIL","Stationary Shooter","385","PF","33","-1.57","-1.49","-0.08","0.20","747,636.00","-1.82","-1.46","-0.36"
"Bojan Bogdanovic","2023-24","DET","Secondary Ball Handler","859","PF","34","-1.58","0.04","-1.62","0.50","1,646,971.00","-1.59","-0.11","-1.48"
"Jordan Hawkins","2023-24","NOP","Movement Shooter","932","SG","21","-1.58","-0.04","-1.53","0.50","1,800,371.00","-1.08","0.11","-1.19"
"Josh Green","2023-24","DAL","Stationary Shooter","940","SG","23","-1.58","-1.10","-0.49","0.50","1,799,079.00","-2.37","-1.66","-0.72"
"Trey Lyles","2023-24","SAC","Athletic Finisher","643","PF","28","-1.58","-1.47","-0.10","0.40","1,242,784.00","-1.06","-1.22","0.16"
"Jalen McDaniels","2023-24","TOR","Stationary Shooter","260","SF","26","-1.59","-1.20","-0.39","0.10","493,433.00","-1.45","-1.25","-0.20"
"Jalen Green","2023-24","HOU","Primary Ball Handler","1,450","SG","21","-1.60","-0.48","-1.12","0.80","2,724,588.00","0.24","0.47","-0.23"
"Lamar Stevens","2023-24","BOS","Athletic Finisher","115","PF","26","-1.60","-0.86","-0.74","0.10","216,834.00","-1.61","-0.85","-0.76"
"Olivier Sarr","2023-24","OKC","Stretch Big","73","C","0","-1.60","-0.88","-0.72","0.00","138,458.00","-1.48","-0.69","-0.79"
"AJ Green","2023-24","MIL","Stationary Shooter","210","SG","24","-1.61","-0.31","-1.30","0.10","389,881.00","-0.99","0.08","-1.08"
"Zach Collins","2023-24","SAS","Versatile Big","913","C","26","-1.61","-1.27","-0.34","0.50","1,700,609.00","-1.69","-1.15","-0.54"
"Gordon Hayward","2023-24","CHO","Secondary Ball Handler","798","SF","33","-1.62","-1.15","-0.47","0.40","1,474,233.00","-1.37","-1.08","-0.29"
"Julian Strawther","2023-24","DEN","Off Screen Shooter","458","SF","21","-1.62","-0.68","-0.94","0.20","843,364.00","-1.37","-0.54","-0.83"
"Jordan Miller","2023-24","LAC","Low Minute","16","SF","24","-1.63","-0.55","-1.08","0.00","29,125.00","-1.32","-0.45","-0.88"
"Jordan Clarkson","2023-24","UTA","Shot Creator","1,170","SG","31","-1.65","0.54","-2.19","0.60","2,079,138.00","-1.60","0.53","-2.14"
"Marcus Sasser","2023-24","DET","Secondary Ball Handler","647","PG","23","-1.65","-0.54","-1.11","0.30","1,147,199.00","-1.20","-0.48","-0.73"
"Saddiq Bey","2023-24","ATL","Athletic Finisher","1,535","SF","24","-1.65","0.29","-1.94","0.80","2,711,790.00","-1.65","-0.22","-1.43"
"Svi Mykhailiuk","2023-24","BOS","Movement Shooter","161","SF","26","-1.66","-0.32","-1.34","0.10","282,405.00","-1.67","-0.35","-1.32"
"Aaron Wiggins","2023-24","OKC","Stretch Big","608","SG","25","-1.67","-0.94","-0.73","0.30","1,045,915.00","-1.90","-1.16","-0.74"
"Georges Niang","2023-24","CLE","Movement Shooter","996","PF","30","-1.67","-1.04","-0.63","0.50","1,723,180.00","-0.90","-0.93","0.02"
"Jeremiah Robinson-Earl","2023-24","NOP","Stretch Big","205","PF","23","-1.68","-1.44","-0.24","0.10","349,831.00","-1.27","-1.01","-0.26"
"Aleksej Pokusevski","2023-24","OKC","Movement Shooter","48","PF","22","-1.69","-0.54","-1.15","0.00","80,891.00","-1.51","-0.39","-1.13"
"Cam Thomas","2023-24","BRK","Shot Creator","1,100","SG","22","-1.69","0.21","-1.90","0.50","1,863,579.00","-0.99","0.58","-1.57"
"Keyontae Johnson","2023-24","OKC","Secondary Ball Handler","48","SF","23","-1.70","-0.63","-1.07","0.00","79,051.00","-1.70","-0.51","-1.19"
"Ayo Dosunmu","2023-24","CHI","Stationary Shooter","1,142","SG","24","-1.71","-1.07","-0.64","0.50","1,877,042.00","-1.76","-1.49","-0.28"
"Toumani Camara","2023-24","POR","Stretch Big","1,111","PF","23","-1.71","-2.10","0.39","0.50","1,821,746.00","-2.95","-2.97","0.02"
"Chris Duarte","2023-24","SAC","Movement Shooter","461","SF","26","-1.73","-2.08","0.35","0.20","742,867.00","-1.91","-2.09","0.18"
"Marcus Morris Sr.","2023-24","PHI","Stretch Big","594","PF","34","-1.75","-1.05","-0.71","0.30","922,066.00","-1.97","-1.46","-0.51"
"Thanasis Antetokounmpo","2023-24","MIL","Post Scorer","77","PF","31","-1.75","-1.23","-0.52","0.00","120,909.00","-1.23","-0.83","-0.40"
"Christian Braun","2023-24","DEN","Stationary Shooter","923","SG","22","-1.76","-1.36","-0.39","0.40","1,429,086.00","-1.47","-1.37","-0.10"
"Isaiah Stewart","2023-24","DET","Stretch Big","1,070","PF","22","-1.76","-2.03","0.27","0.50","1,640,622.00","-2.16","-1.81","-0.35"
"Kyle Kuzma","2023-24","WAS","Secondary Ball Handler","1,475","PF","28","-1.77","0.36","-2.14","0.60","2,221,570.00","-1.77","0.40","-2.17"
"Aaron Holiday","2023-24","HOU","Secondary Ball Handler","755","PG","27","-1.78","-1.52","-0.26","0.30","1,128,381.00","-2.26","-1.60","-0.66"
"Jaden Springer","2023-24","PHI","Athletic Finisher","288","SG","21","-1.78","-1.84","0.05","0.10","428,648.00","-2.11","-1.76","-0.35"
"Troy Brown Jr.","2023-24","MIN","Movement Shooter","406","SF","24","-1.78","-0.41","-1.37","0.20","609,769.00","-1.36","-0.48","-0.88"
"Collin Gillespie","2023-24","DEN","Secondary Ball Handler","97","PG","24","-1.81","-1.20","-0.60","0.00","139,222.00","-1.76","-1.16","-0.60"
"Jaden Ivey","2023-24","DET","Secondary Ball Handler","1,149","SG","21","-1.82","-0.44","-1.38","0.50","1,618,433.00","-2.06","-0.66","-1.40"
"Nassir Little","2023-24","PHO","Stationary Shooter","375","SF","23","-1.82","-1.52","-0.30","0.20","531,739.00","-1.78","-1.57","-0.20"
"Justin Holiday","2023-24","DEN","Movement Shooter","349","SG","34","-1.83","-1.95","0.12","0.10","482,727.00","-2.54","-2.31","-0.23"
"Lindy Waters III","2023-24","OKC","Movement Shooter","130","SG","26","-1.83","-0.56","-1.26","0.10","181,626.00","-1.47","-0.27","-1.20"
"Reggie Jackson","2023-24","DEN","Primary Ball Handler","1,133","PG","33","-1.85","-0.45","-1.40","0.40","1,520,243.00","-1.22","-0.17","-1.05"
"Nick Richards","2023-24","CHO","Roll + Cut Big","930","C","26","-1.89","-2.04","0.15","0.30","1,180,022.00","-1.23","-1.90","0.67"
"Reggie Bullock Jr.","2023-24","HOU","Movement Shooter","166","SF","32","-1.90","-1.38","-0.52","0.10","205,306.00","-1.54","-1.11","-0.43"
"Malachi Flynn","2023-24","TOR/NYK","Secondary Ball Handler","513","PG","25","-1.92","-1.53","-0.39","0.20","616,005.00","-1.64","-1.41","-0.23"
"Bismack Biyombo","2023-24","MEM","Roll + Cut Big","718","C","31","-1.93","-3.35","1.42","0.20","850,009.00","-1.62","-3.49","1.86"
"Seth Curry","2023-24","DAL","Movement Shooter","457","SG","33","-1.94","-1.30","-0.64","0.20","528,487.00","-2.08","-1.25","-0.83"
"Matisse Thybulle","2023-24","POR","Stationary Shooter","1,042","SF","26","-1.95","-2.90","0.94","0.30","1,168,751.00","-1.83","-2.79","0.95"
"Ousmane Dieng","2023-24","OKC","Stationary Shooter","258","PF","20","-1.95","-0.44","-1.51","0.10","291,260.00","-2.25","-0.67","-1.58"
"Andrew Wiggins","2023-24","GSW","Athletic Finisher","1,088","SF","28","-1.96","-1.06","-0.89","0.40","1,216,938.00","-1.83","-0.99","-0.84"
"Kevin Knox II","2023-24","DET","Stationary Shooter","529","SF","24","-2.01","-1.66","-0.34","0.20","533,793.00","-2.38","-1.61","-0.76"
"Killian Hayes","2023-24","DET","Primary Ball Handler","979","PG","22","-2.01","-2.28","0.27","0.30","992,622.00","-1.41","-1.49","0.08"
"Shake Milton","2023-24","MIN","Secondary Ball Handler","486","SG","27","-2.03","-1.72","-0.30","0.10","471,380.00","-2.11","-1.56","-0.55"
"Keyonte George","2023-24","UTA","Primary Ball Handler","1,040","PG","20","-2.06","-0.43","-1.62","0.30","941,051.00","-1.23","0.25","-1.48"
"Furkan Korkmaz","2023-24","PHI","Secondary Ball Handler","239","SG","26","-2.09","-1.49","-0.60","0.10","199,581.00","-2.31","-1.46","-0.86"
"Dillon Brooks","2023-24","HOU","Stationary Shooter","1,193","SF","28","-2.12","-2.09","-0.03","0.30","909,375.00","-1.79","-1.64","-0.15"
"Brandon Boston Jr.","2023-24","LAC","Secondary Ball Handler","99","SF","22","-2.17","-0.79","-1.38","0.00","64,800.00","-1.72","-0.64","-1.08"
"Cason Wallace","2023-24","OKC","Stationary Shooter","1,011","SG","20","-2.17","-2.02","-0.16","0.20","663,855.00","-1.47","-1.34","-0.13"
"Jerami Grant","2023-24","POR","Shot Creator","1,443","PF","29","-2.19","-0.41","-1.78","0.30","900,897.00","-1.56","-0.54","-1.02"
"P.J. Washington","2023-24","CHO","Stretch Big","1,162","PF","25","-2.24","-1.10","-1.14","0.20","595,721.00","-2.34","-1.23","-1.11"
"Zeke Nnaji","2023-24","DEN","Roll + Cut Big","347","PF","23","-2.26","-2.42","0.16","0.00","162,268.00","-1.91","-2.17","0.26"
"Davion Mitchell","2023-24","SAC","Secondary Ball Handler","451","PG","25","-2.28","-1.95","-0.34","0.10","188,389.00","-2.23","-1.62","-0.61"
"James Wiseman","2023-24","DET","Roll + Cut Big","424","C","22","-2.30","-2.31","0.01","0.00","164,892.00","-1.52","-2.11","0.59"
"P.J. Tucker","2023-24","PHI/LAC","Athletic Finisher","239","PF","38","-2.34","-1.73","-0.61","0.00","72,247.00","-2.23","-1.55","-0.67"
"Jordan Poole","2023-24","WAS","Primary Ball Handler","1,315","SG","24","-2.36","-0.73","-1.63","0.10","328,671.00","-2.73","-0.76","-1.97"
"Shaedon Sharpe","2023-24","POR","Secondary Ball Handler","1,059","SG","20","-2.36","-1.19","-1.16","0.10","281,884.00","-2.51","-1.53","-0.98"
"Ziaire Williams","2023-24","MEM","Stationary Shooter","828","SF","22","-2.36","-1.72","-0.64","0.10","209,895.00","-2.34","-2.07","-0.27"
"Jeff Green","2023-24","HOU","Stretch Big","748","PF","37","-2.37","-1.55","-0.82","0.00","171,608.00","-2.33","-2.02","-0.31"
"Cedi Osman","2023-24","SAS","Stationary Shooter","872","SF","28","-2.42","-1.42","-1.00","0.00","115,848.00","-1.99","-1.30","-0.68"
"Matt Ryan","2023-24","NOP","Movement Shooter","298","SF","26","-2.47","-1.59","-0.88","0.00","8,555.00","-2.46","-1.38","-1.08"
"Gary Trent Jr.","2023-24","TOR","Movement Shooter","1,095","SG","25","-2.49","-1.08","-1.41","0.00","-26,922.00","-2.10","-0.81","-1.29"
"Jericho Sims","2023-24","NYK","Roll + Cut Big","214","C","25","-2.49","-2.61","0.12","0.00","-3,871.00","-1.67","-2.17","0.49"
"Caleb Houstan","2023-24","ORL","Movement Shooter","562","SF","21","-2.55","-1.11","-1.44","0.00","-81,786.00","-2.04","-1.02","-1.02"
"Ochai Agbaji","2023-24","UTA","Movement Shooter","976","SG","23","-2.59","-1.98","-0.61","-0.10","-222,396.00","-2.39","-2.23","-0.16"
"Andre Jackson Jr.","2023-24","MIL","Stretch Big","449","SG","22","-2.62","-2.38","-0.25","0.00","-135,985.00","-2.74","-2.30","-0.44"
"Nathan Mensah","2023-24","CHO","Roll + Cut Big","275","C","25","-2.65","-4.12","1.46","0.00","-98,136.00","-2.25","-3.51","1.26"
"Gradey Dick","2023-24","TOR","Movement Shooter","355","SG","20","-2.70","-1.40","-1.30","0.00","-160,993.00","-2.59","-1.71","-0.88"
"Danuel House Jr.","2023-24","PHI","Movement Shooter","458","SF","30","-2.73","-2.17","-0.55","-0.10","-235,534.00","-3.20","-2.38","-0.82"
"Bennedict Mathurin","2023-24","IND","Secondary Ball Handler","1,200","SF","21","-2.79","-0.78","-2.01","-0.20","-784,255.00","-1.76","0.31","-2.06"
"Jaxson Hayes","2023-24","LAL","Roll + Cut Big","379","C","23","-2.81","-3.95","1.14","-0.10","-260,264.00","-2.51","-3.57","1.06"
"Jeremy Sochan","2023-24","SAS","Athletic Finisher","1,416","PF","20","-2.82","-2.09","-0.74","-0.30","-1,020,220.00","-2.69","-2.07","-0.62"
"Anthony Black","2023-24","ORL","Athletic Finisher","874","PG","20","-2.84","-3.51","0.66","-0.20","-667,489.00","-2.00","-2.76","0.76"
"Bones Hyland","2023-24","LAC","Shot Creator","251","PG","23","-2.91","-1.03","-1.88","-0.10","-225,966.00","-1.89","-0.27","-1.62"
"KJ Martin","2023-24","LAC/PHI","Slasher","257","SF","23","-2.93","-2.49","-0.44","-0.10","-243,851.00","-3.23","-2.63","-0.61"
"Yuta Watanabe","2023-24","PHO","Movement Shooter","374","SF","29","-2.95","-1.81","-1.14","-0.10","-370,671.00","-2.77","-2.04","-0.74"
"David Roddy","2023-24","MEM","Stationary Shooter","1,014","PF","22","-3.02","-2.46","-0.56","-0.30","-1,142,891.00","-2.91","-2.51","-0.40"
"Bilal Coulibaly","2023-24","WAS","Stationary Shooter","1,227","SF","19","-3.04","-2.56","-0.47","-0.40","-1,436,333.00","-3.55","-2.83","-0.73"
"Max Christie","2023-24","LAL","Stationary Shooter","658","SG","20","-3.05","-3.05","0.00","-0.20","-794,009.00","-2.70","-2.79","0.09"
"JT Thor","2023-24","CHO","Athletic Finisher","532","PF","21","-3.08","-2.83","-0.25","-0.20","-666,818.00","-3.15","-2.92","-0.23"
"Kobe Brown","2023-24","LAC","Stationary Shooter","268","PF","24","-3.10","-2.11","-0.99","-0.10","-349,141.00","-2.51","-1.96","-0.55"
"Brandon Miller","2023-24","CHO","Secondary Ball Handler","1,239","SF","21","-3.34","-1.40","-1.94","-0.60","-2,242,586.00","-3.38","-1.67","-1.72"
"Corey Kispert","2023-24","WAS","Off Screen Shooter","997","SF","24","-3.34","-0.69","-2.64","-0.50","-1,791,684.00","-2.92","-0.53","-2.39"
"Garrison Mathews","2023-24","ATL","Movement Shooter","417","SG","27","-3.36","-3.16","-0.20","-0.20","-769,976.00","-3.29","-2.79","-0.50"
"Doug McDermott","2023-24","SAS","Off Screen Shooter","658","SF","32","-3.39","-1.18","-2.21","-0.40","-1,248,190.00","-2.78","-1.18","-1.60"
"MarJon Beauchamp","2023-24","MIL","Athletic Finisher","540","SF","23","-3.40","-2.53","-0.87","-0.30","-1,044,360.00","-2.84","-2.21","-0.64"
"Amir Coffey","2023-24","LAC","Stationary Shooter","565","SF","26","-3.41","-1.97","-1.44","-0.30","-1,102,950.00","-3.14","-2.17","-0.97"
"Isaiah Livers","2023-24","DET","Stationary Shooter","469","PF","25","-3.42","-2.54","-0.88","-0.30","-921,103.00","-2.89","-2.32","-0.57"
"Scoot Henderson","2023-24","POR","Primary Ball Handler","1,024","PG","19","-3.60","-1.74","-1.86","-0.70","-2,391,367.00","-3.89","-2.22","-1.66"
"Ish Smith","2023-24","CHO","Primary Ball Handler","649","PG","35","-3.65","-3.25","-0.40","-0.50","-1,591,871.00","-3.91","-3.26","-0.66"
"Nick Smith Jr.","2023-24","CHO","Movement Shooter","468","SG","19","-3.76","-2.37","-1.39","-0.40","-1,250,930.00","-3.34","-1.81","-1.54"
"Bryce McGowens","2023-24","CHO","Movement Shooter","592","SG","21","-3.87","-2.95","-0.92","-0.50","-1,709,516.00","-3.37","-2.48","-0.90"
"Malaki Branham","2023-24","SAS","Secondary Ball Handler","895","PG","20","-4.23","-2.57","-1.67","-0.90","-3,257,245.00","-3.64","-2.27","-1.38"
"","Season","Team","Offensive Archetype","Minutes","Pos","Age","","","","WAR","LEBRON Contract Value","","",""
