"Player","Season","Team","Offensive Archetype","Minutes","Pos","Age","LEBRON","O-LEBRON","D-LEBRON","WAR","LEBRON Contract Value","boxLEBRON","boxOLEBRON","boxDLEBRON"
"John Konchar","2023-24","MEM","Athletic Finisher","669","SF","0","-0.45","-2.53","2.07","0.80","2,912,616.00","-0.86","-2.59","1.73"
"Isaiah Joe","2023-24","OKC","Movement Shooter","883","SG","24","-0.47","0.03","-0.50","1.10","3,811,176.00","-0.61","0.11","-0.73"
"Brandon Williams","2023-24","DAL","Low Minute","43","PG","24","-0.48","-0.21","-0.27","0.10","186,264.00","-0.40","-0.21","-0.18"
"Markquis Nowell","2023-24","TOR","Low Minute","4","SG","24","-0.48","-0.45","-0.03","0.00","15,138.00","-0.57","-0.47","-0.09"
"Filip Petrusev","2023-24","PHI/SAC","Low Minute","9","C","23","-0.49","-0.35","-0.14","0.00","39,709.00","-0.48","-0.33","-0.15"
"Larry Nance Jr.","2023-24","NOP","Stretch Big","551","C","31","-0.50","-1.86","1.37","0.70","2,348,884.00","-0.10","-1.31","1.21"
"Patrick Beverley","2023-24","PHI","Primary Ball Handler","837","PG","35","-0.50","-0.33","-0.18","1.00","3,557,053.00","-0.97","-0.91","-0.06"
"Marques Bolden","2023-24","MIL","Low Minute","3","C","25","-0.53","-0.06","-0.47","0.00","12,327.00","-0.53","-0.04","-0.48"
"Coby White","2023-24","CHI","Movement Shooter","1,764","PG","23","-0.54","0.73","-1.28","2.10","7,340,041.00","-0.14","0.44","-0.59"
"Evan Fournier","2023-24","NYK","Low Minute","39","SG","31","-0.54","-0.34","-0.21","0.00","160,772.00","-0.77","-0.44","-0.34"
"Greg Brown III","2023-24","DAL","Low Minute","40","PF","22","-0.55","-0.42","-0.13","0.00","164,308.00","-0.45","-0.39","-0.06"
"Garrett Temple","2023-24","TOR","Athletic Finisher","50","SG","37","-0.56","-0.61","0.05","0.10","206,573.00","-0.79","-0.66","-0.13"
"Jordan Nwora","2023-24","IND/TOR","Stationary Shooter","244","SF","25","-0.56","0.16","-0.72","0.30","1,009,656.00","-0.89","-0.18","-0.71"
"Robert Covington","2023-24","LAC/PHI","Stretch Big","488","SF","33","-0.56","-1.62","1.06","0.60","2,018,530.00","-0.54","-1.46","0.93"
"Kendall Brown","2023-24","IND","Low Minute","18","SG","20","-0.57","-0.15","-0.41","0.00","75,742.00","-0.68","-0.14","-0.54"
"Leaky Black","2023-24","CHO","Stationary Shooter","113","SF","24","-0.57","-1.01","0.44","0.10","461,569.00","-0.36","-0.98","0.63"
"Colin Castleton","2023-24","LAL","Low Minute","32","C","23","-0.58","-0.37","-0.21","0.00","131,163.00","-0.56","-0.42","-0.14"
"Dylan Windler","2023-24","NYK/LAL","Low Minute","16","SF","27","-0.58","-0.40","-0.19","0.00","65,626.00","-0.55","-0.33","-0.22"
"Keon Johnson","2023-24","BRK","Low Minute","21","SG","21","-0.58","-0.38","-0.20","0.00","85,195.00","-0.61","-0.52","-0.10"
"Stanley Umude","2023-24","DET","Stationary Shooter","155","SG","24","-0.58","-0.79","0.21","0.20","632,124.00","-0.06","-0.56","0.50"
"Admiral Schofield","2023-24","ORL","Low Minute","46","PF","26","-0.59","-0.45","-0.13","0.10","187,695.00","-0.58","-0.33","-0.25"
"Bol Bol","2023-24","PHO","Athletic Finisher","86","PF","24","-0.59","-0.50","-0.10","0.10","347,510.00","-0.66","-0.49","-0.16"
"Dalen Terry","2023-24","CHI","Stationary Shooter","311","SG","21","-0.59","-1.17","0.58","0.40","1,266,581.00","-1.00","-1.52","0.52"
"Jalen Wilson","2023-24","BRK","Athletic Finisher","102","PF","23","-0.59","-0.10","-0.50","0.10","412,429.00","-0.84","-0.49","-0.34"
"Javon Freeman-Liberty","2023-24","TOR","Low Minute","4","PG","24","-0.59","-0.54","-0.06","0.00","15,782.00","-0.58","-0.49","-0.10"
"Alex Fudge","2023-24","LAL","Low Minute","14","SF","20","-0.60","-0.37","-0.23","0.00","58,370.00","-0.49","-0.32","-0.18"
"Kelly Olynyk","2023-24","UTA","Stretch Big","963","C","32","-0.60","-0.51","-0.09","1.10","3,877,093.00","0.07","-0.33","0.40"
"Tyus Jones","2023-24","WAS","Primary Ball Handler","1,345","PG","27","-0.60","0.51","-1.11","1.60","5,438,209.00","-0.62","0.45","-1.07"
"Dennis Smith Jr.","2023-24","BRK","Secondary Ball Handler","627","PG","26","-0.62","-0.85","0.23","0.70","2,509,326.00","-0.37","-0.57","0.20"
"Jonathan Kuminga","2023-24","GSW","Athletic Finisher","1,043","PF","21","-0.63","-0.20","-0.43","1.20","4,134,567.00","-0.42","0.12","-0.54"
"Noah Clowney","2023-24","BRK","Low Minute","30","PF","19","-0.63","-0.46","-0.17","0.00","119,765.00","-0.65","-0.55","-0.09"
"Thaddeus Young","2023-24","TOR","Roll + Cut Big","277","PF","35","-0.63","-0.51","-0.12","0.30","1,098,724.00","-0.36","-0.63","0.26"
"TyTy Washington Jr.","2023-24","MIL","Low Minute","6","PG","22","-0.63","-0.14","-0.49","0.00","22,244.00","-0.54","-0.05","-0.49"
"Kyle Anderson","2023-24","MIN","Athletic Finisher","1,065","PF","30","-0.64","-1.90","1.27","1.20","4,210,417.00","-0.26","-1.37","1.12"
"Marvin Bagley III","2023-24","DET/WAS","Roll + Cut Big","671","C","24","-0.64","-0.41","-0.23","0.80","2,643,857.00","-0.75","-0.26","-0.49"
"Trendon Watford","2023-24","BRK","Slasher","388","PF","23","-0.64","-0.55","-0.09","0.40","1,529,475.00","-0.78","-0.83","0.04"
"A.J. Lawson","2023-24","DAL","Stationary Shooter","213","SG","23","-0.65","-0.34","-0.31","0.20","837,177.00","-1.14","-0.67","-0.47"
"Danilo Gallinari","2023-24","WAS/DET","Stretch Big","434","C","35","-0.65","-0.21","-0.44","0.50","1,706,757.00","-0.44","0.09","-0.53"
"Dariq Whitehead","2023-24","BRK","Low Minute","24","SF","19","-0.65","-0.46","-0.19","0.00","94,286.00","-0.61","-0.55","-0.06"
"Ausar Thompson","2023-24","DET","Athletic Finisher","1,103","SF","21","-0.66","-1.61","0.94","1.20","4,297,577.00","-1.57","-1.90","0.32"
"Thomas Bryant","2023-24","MIA","Roll + Cut Big","259","C","26","-0.66","-1.19","0.53","0.30","1,010,570.00","-0.69","-1.09","0.41"
"Colby Jones","2023-24","SAC","Movement Shooter","110","SG","21","-0.67","-0.78","0.12","0.10","429,741.00","-0.74","-0.77","0.02"
"OG Anunoby","2023-24","TOR/NYK","Stationary Shooter","1,401","SF","26","-0.67","-1.08","0.40","1.60","5,432,041.00","-0.71","-0.91","0.20"
"Dmytro Skapintsev","2023-24","NYK","Low Minute","2","C","25","-0.69","-0.42","-0.27","0.00","8,175.00","-0.70","-0.41","-0.29"
"Ron Harper Jr.","2023-24","TOR","Low Minute","4","PF","23","-0.69","-0.52","-0.17","0.00","13,987.00","-0.58","-0.49","-0.09"
"Tre Jones","2023-24","SAS","Primary Ball Handler","1,104","PG","24","-0.69","-0.03","-0.66","1.20","4,251,138.00","-1.42","-0.62","-0.80"
"Damian Jones","2023-24","CLE","Roll + Cut Big","125","C","28","-0.70","-0.78","0.08","0.10","478,114.00","-0.52","-0.61","0.09"
"Kaiser Gates","2023-24","NOP","Low Minute","7","SF","27","-0.70","-0.27","-0.43","0.00","28,388.00","-0.72","-0.28","-0.44"
"Luke Kennard","2023-24","MEM","Movement Shooter","517","SG","27","-0.70","0.31","-1.00","0.60","1,979,172.00","-0.70","0.00","-0.70"
"D'Moi Hodge","2023-24","LAL","Low Minute","41","SG","25","-0.71","-0.42","-0.29","0.00","156,997.00","-0.57","-0.37","-0.20"
"Markelle Fultz","2023-24","ORL","Roll + Cut Big","371","PG","25","-0.71","-1.07","0.36","0.40","1,411,961.00","-1.21","-1.31","0.09"
